seed,arm,root_revision,root_revised,untreated_transfer,identity_cross,threat_cross,identity_before_threat
703146,reversed_graph,0.0,false,0.0,0,19,false
703147,witnessing,0.15638998003801025,false,0.11260078562736736,0,22,false
703147,matched_exposure,0.0024670273186731947,false,0.0017762596694446964,0,22,false
703147,reversed_graph,0.0,false,0.0,0,22,false
703148,witnessing,0.03729693257505984,true,0.026853791454043097,1,0,true
703148,matched_exposure,0.028902694956541186,true,0.020809940368709645,1,0,true
703148,reversed_graph,0.0,true,0.0,1,0,true
703149,witnessing,0.04135039797362117,true,0.029772286541007248,1,0,true
703149,matched_exposure,0.03415228115531843,true,0.02458964243182926,1,0,true
703149,reversed_graph,0.0,true,0.0,1,0,true
703150,witnessing,0.3290396892162329,false,0.23690857623568767,0,0,false
703150,matched_exposure,0.02363046063554223,false,0.01701393165759041,0,0,false
703150,reversed_graph,0.0,false,0.0,0,0,false
703151,witnessing,0.05098894218228277,false,0.036712038371243594,0,23,false
703151,matched_exposure,0.0011174249653594104,false,0.0008045459750587736,0,23,false
703151,reversed_graph,0.0,false,0.0,0,23,false
703152,witnessing,0.938954776014534,true,0.6760474387304645,11,20,true
703152,matched_exposure,0.44424275922626555,false,0.31985478664291117,0,20,false
703152,reversed_graph,0.0,false,0.0,0,20,false
703153,witnessing,0.7736725992291218,true,0.5570442714449677,22,23,true
703153,matched_exposure,0.06819115247368507,false,0.049097629781053254,0,23,false
703153,reversed_graph,0.0,false,0.0,0,23,false
703154,witnessing,0.11706145983033754,false,0.08428425107784304,0,0,false
703154,matched_exposure,0.0042522636572099775,false,0.003061629833191193,0,0,false
703154,reversed_graph,0.0,false,0.0,0,0,false
703155,witnessing,0.012782486202235526,false,0.009203390065609579,0,0,false
703155,matched_exposure,0.0006370418597048291,false,0.00045867013898748255,0,0,false
703155,reversed_graph,0.0,false,0.0,0,0,false
703156,witnessing,0.7874692208284757,true,0.5669778389965026,9,22,true
703156,matched_exposure,0.571420912218936,true,0.41142305679763397,19,22,true
703156,reversed_graph,0.0,false,0.0,0,22,false
703157,witnessing,0.8651091710851426,true,0.6228786031813027,16,22,true
703157,matched_exposure,0.13012028861168795,false,0.09368660780041532,0,22,false
703157,reversed_graph,0.0,false,0.0,0,22,false
703158,witnessing,0.09486048699010692,false,0.06829955063287696,0,20,false
703158,matched_exposure,0.001396149184249711,false,0.0010052274126597927,0,20,false
703158,reversed_graph,0.0,false,0.0,0,20,false
703159,witnessing,0.0009038517588978403,false,0.0006507732664064458,0,22,false
703159,matched_exposure,1.883554239546783e-5,false,1.356159052473549e-5,0,22,false
703159,reversed_graph,0.0,false,0.0,0,22,false
703160,witnessing,0.756165896808092,true,0.5444394457018262,20,0,true
703160,matched_exposure,0.14781101145039352,false,0.10642392824428332,0,0,false
703160,reversed_graph,0.0,false,0.0,0,0,false
703161,witnessing,0.05502136492957804,false,0.039615382749296185,0,22,false
703161,matched_exposure,0.0012108292113727477,false,0.0008717970321883706,0,22,false
703161,reversed_graph,0.0,false,0.0,0,22,false
703162,witnessing,0.13746068919490623,false,0.09897169622033247,0,23,false
703162,matched_exposure,0.0051071606686597,false,0.0036771556814349793,0,23,false
