seed,regularity,run_length,acute_timing,acute_count,low_control_fraction,uncontrollability_log_evidence,cumulative_overwhelm_precision,final_persistent_probability,maximum_step
63172,periodic,80,middle,0,0.5,-0.2009445337300174,0.0,0.6151605519514618,0.0446758432999963
63173,jittered,80,middle,0,0.0,-2.8327070825814116,0.0,0.2015340114636667,0.05618894411718778
63174,bernoulli,80,middle,0,0.75,2.2419765131360765,0.0,0.9169968581155085,0.056586303639543645
63175,clustered,80,middle,0,0.25,-2.650914736163162,0.0,0.20855325820508683,0.060492441574617584
63176,periodic,16,late,0,1.0,0.059958116935744016,0.0,0.440057805593592,0.02735557819096407
63177,jittered,16,late,0,0.5,-0.5083113356525941,0.0,0.42512056739989335,0.05707577554470339
63178,bernoulli,16,late,0,0.0,-1.9620760499552423,0.0,0.2836667828299818,0.04297324661269886
63179,clustered,16,late,0,0.75,1.1041663727064115,0.0,0.5440873109614914,0.05444042622047135
63180,periodic,32,late,0,0.25,-3.2141512185392123,0.0,0.18797073462695968,0.04843832139316337
63181,jittered,32,late,0,1.0,-2.2522661153265346,0.0,0.16745500423493048,0.03950989924647358
63182,bernoulli,32,late,0,0.5,-0.23599563915049165,0.0,0.5141025043969398,0.04194373868024376
63183,clustered,32,late,0,0.0,-0.8940216134244671,0.0,0.33687150442989927,0.043074364520660935
63184,periodic,64,late,0,0.75,-2.9255857253471445,0.0,0.21306898220594175,0.06355446510879925
63185,jittered,64,late,0,0.25,-2.1748887823192695,0.0,0.21801110206504032,0.042524752538490806
63186,bernoulli,64,late,0,1.0,-1.827700283196923,0.0,0.23311358533133308,0.044366308760549145
63187,clustered,64,late,0,0.5,-2.5302370059757293,0.0,0.2544887964221023,0.0550839817425785
63188,periodic,80,late,0,0.0,-2.9246849621541195,0.0,0.22267870653520655,0.049814654185606044
63189,jittered,80,late,0,0.75,-0.060040390912762275,0.0,0.5340872394491333,0.05707577554470339
63190,bernoulli,80,late,0,0.25,-3.957753456557877,0.0,0.14651568779115245,0.04869528281024471
63191,clustered,80,late,0,1.0,0.6127262492025275,0.0,0.7852249480757775,0.05000902457657175
63192,periodic,16,early,1,0.5,-0.7936179759333885,0.1009082225808526,0.3636342698573133,0.036322696719813585
63193,jittered,16,early,1,0.0,-1.1812256550313907,-0.6528635797955276,0.3222889689271421,0.03346077371829792
63194,bernoulli,16,early,1,0.75,-1.1222034378396704,-0.6528635797955276,0.2756551539405132,0.04091563055453279
63195,clustered,16,early,1,0.25,-2.2227349401365166,0.1009082225808526,0.19768851535013074,0.034176881452668506
63196,periodic,32,early,1,1.0,0.2965584892324443,0.1009082225808526,0.5624450747932845,0.040840233548010973
63197,jittered,32,early,1,0.5,-2.674009550093263,0.1009082225808526,0.19356005633946546,0.044249075984949676
63198,bernoulli,32,early,1,0.0,-2.3014343006513824,0.1009082225808526,0.18551825833637703,0.05101156580261898
63199,clustered,32,early,1,0.75,0.917288215761209,0.1009082225808526,0.6357671679343248,0.04096054869765653
63200,periodic,64,early,1,0.25,-3.7484772090354253,-0.6528635797955276,0.1408867588344902,0.05424096655007482
63201,jittered,64,early,1,1.0,2.535726784898837,0.1009082225808526,0.878470236425688,0.04424317645377107
63202,bernoulli,64,early,1,0.5,0.021988024594592648,0.1009082225808526,0.43798603046527873,0.055335214795869836
63203,clustered,64,early,1,0.0,-2.5269707029060564,0.1009082225808526,0.3403990392873718,0.057230961814511094
63204,periodic,80,early,1,0.75,-1.3915011805677022,0.1009082225808526,0.36351892330831226,0.05434758696045994
63205,jittered,80,early,1,0.25,-2.176451771563268,-0.6528635797955276,0.3196256272606312,0.0512219744934545
63206,bernoulli,80,early,1,1.0,-0.894538599321181,0.1009082225808526,0.3583898326817086,0.04068638258004087
63207,clustered,80,early,1,0.5,-1.5526850800278744,0.1009082225808526,0.3484247152163658,0.05436029534648107
63208,periodic,16,middle,1,0.0,-1.9413528195910406,0.1009082225808526,0.308401834913482,0.03595225450961148
63209,jittered,16,middle,1,0.75,1.362271589416714,0.1009082225808526,0.6761506830287617,0.05707577554470339
63210,bernoulli,16,middle,1,0.25,-2.0301296490196425,0.1009082225808526,0.25458827221528135,0.056113453427606375
63211,clustered,16,middle,1,1.0,0.3129643836126465,0.1009082225808526,0.4768816800378868,0.05360065610206671
63212,periodic,32,middle,1,0.5,-0.4384756321114376,0.1009082225808526,0.39993831184781914,0.03668133944558283
63213,jittered,32,middle,1,0.0,-4.033654077811198,0.1009082225808526,0.16411352123623868,0.05449153706478199
63214,bernoulli,32,middle,1,0.75,1.0531965486866348,0.1009082225808526,0.655086266340961,0.045178956283608684
63215,clustered,32,middle,1,0.25,-1.4861889942201927,0.1009082225808526,0.378607313311254,0.04598473654753321
63216,periodic,64,middle,1,1.0,2.0592215778975547,0.1009082225808526,0.7845404743825902,0.050664384443827815
63217,jittered,64,middle,1,0.5,0.6814753130992487,0.1009082225808526,0.7016641049172356,0.041802172496820944
63218,bernoulli,64,middle,1,0.0,-3.430390769725025,-0.6528635797955276,0.1624452978209169,0.05075324819856536
63219,clustered,64,middle,1,0.75,0.32688290629844613,0.1009082225808526,0.608895442719632,0.05668877376297832
63220,periodic,80,middle,1,0.25,-3.536392875931348,0.1009082225808526,0.17852974608442124,0.049623963878749344
63221,jittered,80,middle,1,1.0,2.719440200283882,0.1009082225808526,0.9401313913427783,0.07587493536238665
63222,bernoulli,80,middle,1,0.5,-3.7499114946583387,0.1009082225808526,0.16788462738848248,0.05692192590098355
63223,clustered,80,middle,1,0.0,-1.450620379629775,0.1009082225808526,0.36458522237548135,0.052952813993620285
63224,periodic,16,late,1,0.75,0.618367005158847,0.1009082225808526,0.4408780954703763,0.03898734892678535
63225,jittered,16,late,1,0.25,-2.644174752015042,0.1009082225808526,0.1744669790116511,0.04857845177261966
63226,bernoulli,16,late,1,1.0,1.250052884818992,0.1009082225808526,0.5833173776787812,0.07793359361457142
63227,clustered,16,late,1,0.5,-0.8098686585981176,0.1009082225808526,0.37841590791014257,0.041684080947215374
63228,periodic,32,late,1,0.0,-2.441992301030295,0.1009082225808526,0.22229267601731625,0.05253109070726025
63229,jittered,32,late,1,0.75,-2.209450481356975,0.1009082225808526,0.25243312140162655,0.038599835564846086
63230,bernoulli,32,late,1,0.25,-2.5173703577315583,0.1009082225808526,0.1921860125443843,0.05529676718784676
63231,clustered,32,late,1,1.0,0.19845836402055544,0.1009082225808526,0.5445299318990298,0.035191385637077355
63232,periodic,64,late,1,0.5,-3.737587100034816,0.1009082225808526,0.16873943956582774,0.05521849285945349
63233,jittered,64,late,1,0.0,-2.869044388219651,0.1009082225808526,0.2590735732270513,0.05692644465414437
63234,bernoulli,64,late,1,0.75,-1.014904574182207,0.1009082225808526,0.5263981665558675,0.04997674152269871
63235,clustered,64,late,1,0.25,-2.8755929689750745,0.1009082225808526,0.22374158755347753,0.051364918693304285
63236,periodic,80,late,1,1.0,2.8948287856998327,0.1009082225808526,0.9231541514491888,0.05035939225293773
63237,jittered,80,late,1,0.5,-2.194933233107013,0.1009082225808526,0.1753004503242026,0.04943562899080467
63238,bernoulli,80,late,1,0.0,-2.0309425301796424,0.1009082225808526,0.2920340327247679,0.054140210615054196
63239,clustered,80,late,1,0.75,-2.3185950279897662,0.1009082225808526,0.19915301805610114,0.05878940054022902
63240,periodic,16,early,3,0.25,-0.39137004873202447,0.3027246677425578,0.4683072734792544,0.049769079269712746
63241,jittered,16,early,3,1.0,0.6156886326276896,-0.45104713463382234,0.5627970243518824,0.1108187289143499
63242,bernoulli,16,early,3,0.5,-0.20537226355764945,-0.45104713463382234,0.29947184614428335,0.03923155733658695
63243,clustered,16,early,3,0.0,-2.6860047465579275,0.3027246677425578,0.5453475795920453,0.09305680923057136
63244,periodic,32,early,3,0.75,-0.6932498050161789,0.3027246677425578,0.43335988262286873,0.05660225460008983
63245,jittered,32,early,3,0.25,-0.902652982341575,-1.2048189370102025,0.34735864545792405,0.04771183376107968
63246,bernoulli,32,early,3,1.0,-1.672753080650378,0.3027246677425578,0.2246979727959077,0.03460605551167584
63247,clustered,32,early,3,0.5,0.042463964214309,0.3027246677425578,0.535929079025833,0.043948730283474235
63248,periodic,64,early,3,0.0,-2.707897257188583,0.3027246677425578,0.19843565366592536,0.05347428623064482
63249,jittered,64,early,3,0.75,-2.248932922152584,-0.45104713463382234,0.1991735178434152,0.05084088573073403
63250,bernoulli,64,early,3,0.25,-2.70048610700562,0.3027246677425578,0.2176082346058369,0.04837473841153683
63251,clustered,64,early,3,1.0,1.7923544884010063,-1.2048189370102025,0.8897995892664421,0.06765796904460464
63252,periodic,80,early,3,0.5,-2.5708408020526954,0.3027246677425578,0.25487916833010343,0.050766574061252956
63253,jittered,80,early,3,0.0,-2.764547255244115,0.3027246677425578,0.2524565420358641,0.04696001756355114
63254,bernoulli,80,early,3,0.75,1.7211791144285782,0.3027246677425578,0.8026011635701855,0.05206000000241173
63255,clustered,80,early,3,0.25,-2.5835250223191104,0.3027246677425578,0.2371835165667708,0.05053002652639221
63256,periodic,16,middle,3,1.0,-0.1717422487028576,-0.4510471346338224,0.42680341924959814,0.048349278672766005
63257,jittered,16,middle,3,0.5,1.323171169554638,0.3027246677425578,0.6473191058954669,0.08339043425499204
63258,bernoulli,16,middle,3,0.0,-1.6267360135491953,-0.45104713463382234,0.2803698076433735,0.03407756693706682
63259,clustered,16,middle,3,0.75,-0.008616116685274166,0.3027246677425578,0.4174850510685027,0.030678456400869247
63260,periodic,32,middle,3,0.25,-1.8935652000903767,0.3027246677425578,0.3065833655700681,0.05431847997447886
63261,jittered,32,middle,3,1.0,0.8258393609421972,0.3027246677425578,0.6317189905671291,0.050731051928917914
63262,bernoulli,32,middle,3,0.5,0.39793610014051173,0.3027246677425578,0.701145526932345,0.0818727044471958
63263,clustered,32,middle,3,0.0,-3.0216763299530576,-0.45104713463382234,0.2079353377358483,0.05304160598721658
63264,periodic,64,middle,3,0.75,1.7811474576558044,0.3027246677425578,0.8753993986667767,0.07858719761950161
63265,jittered,64,middle,3,0.25,-2.4093020603374113,0.3027246677425578,0.3100016466903834,0.06345919901472918
63266,bernoulli,64,middle,3,1.0,-0.09713544787747878,-1.2048189370102025,0.599294987028626,0.044219677698113136
63267,clustered,64,middle,3,0.5,-2.7137695802154593,0.3027246677425578,0.22307651406690765,0.04275840308762152
63268,periodic,80,middle,3,0.0,-2.0569491699107902,0.3027246677425578,0.29271497264915863,0.06542242622130179
63269,jittered,80,middle,3,0.75,0.8313402935753857,0.3027246677425578,0.8334347148083661,0.04442893621199984
63270,bernoulli,80,middle,3,0.25,-3.0651097993892074,0.3027246677425578,0.19612623557042697,0.04827929487571209
63271,clustered,80,middle,3,1.0,1.389452945267722,0.3027246677425578,0.8635883936046982,0.08972371045739713
63272,periodic,16,late,3,0.5,-0.7192341023690654,0.3027246677425578,0.34319480132466296,0.027345154177564224
63273,jittered,16,late,3,0.0,-1.819254264878413,-0.45104713463382234,0.3046263293269059,0.03881583413472256
63274,bernoulli,16,late,3,0.75,-1.753898789112231,0.3027246677425578,0.2017053709722238,0.041429720827375505
63275,clustered,16,late,3,0.25,-2.2115896393065793,0.3027246677425578,0.25437094167207,0.03890840063315676
63276,periodic,32,late,3,1.0,1.858337209727069,0.3027246677425578,0.6876587471512245,0.08534661652874442
63277,jittered,32,late,3,0.5,0.14413288422431442,-0.4510471346338224,0.5835945242403726,0.05260519972726985
63278,bernoulli,32,late,3,0.0,-2.931841926827485,-0.45104713463382234,0.20381662417309823,0.04616640625053167
63279,clustered,32,late,3,0.75,-1.3464469973417108,0.3027246677425578,0.2375676321652685,0.0381939563680716
63280,periodic,64,late,3,0.25,-3.4951758411943157,0.3027246677425578,0.18842524115602266,0.050089336841159404
63281,jittered,64,late,3,1.0,-1.7697741420963844,0.3027246677425578,0.2619729669457309,0.057230961814511094
63282,bernoulli,64,late,3,0.5,-2.5804962770274247,-0.45104713463382234,0.28287325064006,0.058405807157467404
63283,clustered,64,late,3,0.0,-2.829436869432072,0.3027246677425578,0.22358342143767293,0.04870973361319564
63284,periodic,80,late,3,0.75,1.0040239910901794,-0.4510471346338224,0.6219590556393495,0.04565341603812856
63285,jittered,80,late,3,0.25,-1.1447149986581573,0.3027246677425578,0.2899566693094509,0.050748632329601806
63286,bernoulli,80,late,3,1.0,-0.9539916088121106,0.3027246677425578,0.45327385076202303,0.05225276176627047
63287,clustered,80,late,3,0.5,-2.772518222038468,0.3027246677425578,0.25270525678052064,0.048506254521901715
63288,periodic,16,early,0,0.25,-0.6551098046657109,0.0,0.3715547862440897,0.0297069447965278
63289,jittered,16,early,0,1.0,-1.2219161590398773,0.0,0.3224746201699331,0.04214092042433426
63290,bernoulli,16,early,0,0.5,-0.8621819051673604,0.0,0.3798396593611225,0.03492500732681009
63291,clustered,16,early,0,0.0,-2.2547317115933305,0.0,0.2424946109310852,0.04438843404492723
63292,periodic,32,early,0,0.75,-0.428366803708852,0.0,0.4425190279057565,0.03844950863851354
63293,jittered,32,early,0,0.25,-1.2641769684156867,0.0,0.3651154805960747,0.04607115298011211
63294,bernoulli,32,early,0,1.0,-0.6113144909458815,0.0,0.42632041334378784,0.03223001934992281
63295,clustered,32,early,0,0.5,-2.3367689886171776,0.0,0.2841531444325823,0.03771590245015599
63296,periodic,64,early,0,0.0,-1.9788445627608302,0.0,0.23363404207201952,0.04437158430346766
