seed,acute_final,gradual_final,overwhelm_control_final,low_control_final,high_control_final,adaptive_threat_final,closed_loop_final,exact_replay_final,closed_loop_avoidance_rate,exact_replay_avoidance_rate,closed_loop_adverse_transition_rate,exact_replay_adverse_transition_rate,closed_loop_adverse_outcome_rate,exact_replay_adverse_outcome_rate,closed_loop_root,exact_replay_root,closed_loop_mediator,exact_replay_mediator
63630,0.63920175465836,0.9894782894418174,0.5758080797186576,0.9860255090711485,0.8513434716844743,0.9547160958807919,0.7446393275646803,0.6290559129740347,0.4375,0.0,0.375,0.0,0.5625,0.1875,0.9851741157249094,0.7489102001090577,0.375,0.0
63631,0.9277608815663596,0.9941170166019055,0.17740604278440547,0.9817505091580172,0.8617891337135866,0.9194661111948221,0.49630470802387466,0.4313973959544368,0.3125,0.0,0.3125,0.0,0.3125,0.0,0.7525640424895649,0.24422605190031094,0.3125,0.0
63632,0.8707396102381653,0.9930562433051717,0.5573980907176905,0.9846015854326693,0.7720658624598398,0.9639134136360408,0.44192681322708033,0.4495539422388142,0.25,0.0,0.25,0.0,0.375,0.125,0.2439545936349976,0.08590126036039283,0.25,0.0
63633,0.8733025493943201,0.9876216218879768,0.10726216329479665,0.9857202579153819,0.8579914951720082,0.977846696038827,0.5749080490711898,0.4146924789871776,0.5,0.0,0.5,0.0,0.5,0.0,0.9948505049643457,0.5294407747242107,0.5,0.0
63634,0.8892618029183744,0.9932488961780662,0.5636725584182692,0.9820220160110278,0.8233009680719192,0.900308912318377,0.4408059786969191,0.46299592603728645,0.1875,0.0,0.1875,0.0,0.25,0.0625,0.06784471268921949,0.05339814414404985,0.1875,0.0
63635,0.9079659471880784,0.9946063275958898,0.6051708844210735,0.9812349624580117,0.7951423572703008,0.9770138738288408,0.6096434577164184,0.4022136238842965,0.4375,0.0,0.4375,0.0625,0.5,0.125,0.9905432299275627,0.6779977264564737,0.3263888888888889,-0.0
63636,0.8653973654033633,0.9942469062453371,0.12596090941581323,0.9854835961650863,0.8311242862506872,0.9481897769611362,0.7511688639592794,0.5135471050721203,0.5625,0.0,0.5625,0.0,0.625,0.0625,0.9913788112827907,0.17311254271150003,0.5625,0.0
63637,0.9237534072926467,0.9720827349170454,0.1549635320739088,0.9843725512540589,0.8272561521559021,0.9497690710810293,0.6386319876347194,0.512597618212034,0.4375,0.0,0.5,0.0625,0.625,0.1875,0.9743112578394901,0.39224406161818337,0.38888888888888884,-0.0
63638,0.9180069995886485,0.9932720727335502,0.14678437064313832,0.9811938575905848,0.7923063529169634,0.9623956815685747,0.4238886681927983,0.38174849307805525,0.25,0.0,0.25,0.0,0.4375,0.1875,0.9667560674464237,0.9097054459634742,0.25,0.0
63639,0.8716289375732118,0.9925453741524293,0.7074577241217619,0.9830107954311121,0.8385797636807617,0.9805603022720452,0.9225693944244412,0.4378439080614522,0.8125,0.0,0.75,0.0,0.75,0.0,0.9999498674819569,0.2254284567910253,0.75,0.0
