seed,selected,posterior_entropy,maximum_update_identity_error,maximum_decomposition_error
778592,context_split,0.7870304191876174,2.220446049250313e-15,2.842170943040401e-14
778593,global_downweight,0.9483302355237684,2.6645352591003757e-15,1.4210854715202004e-14
778594,change_point,0.7298439114235904,1.7763568394002505e-15,2.842170943040401e-14
778595,global_downweight,1.037276822663496,1.5543122344752192e-15,1.4210854715202004e-14
778596,global_downweight,0.8969349150173832,5.329070518200751e-15,1.4210854715202004e-14
778597,continuous_drift,0.9545704828199997,1.7763568394002505e-15,1.4210854715202004e-14
778598,continuous_drift,1.03286808046643,5.329070518200751e-15,1.4210854715202004e-14
778599,change_point,0.41330191412368794,2.220446049250313e-15,1.4210854715202004e-14
778600,global_downweight,1.1950504465130158,2.220446049250313e-15,2.842170943040401e-14
778601,continuous_drift,0.6075362909151822,2.886579864025407e-15,1.4210854715202004e-14
778602,context_split,0.9911694172593001,1.3322676295501878e-15,2.842170943040401e-14
778603,continuous_drift,0.048564560175380724,3.3306690738754696e-15,7.105427357601002e-15
778604,context_split,0.2680430406047534,1.7763568394002505e-15,1.4210854715202004e-14
778605,global_downweight,1.347240297654806,2.6645352591003757e-15,1.4210854715202004e-14
778606,cue_local_relearning,0.9608217083773214,1.887379141862766e-15,1.4210854715202004e-14
778607,change_point,0.45541614553064225,3.774758283725532e-15,1.4210854715202004e-14
778608,continuous_drift,0.0733401181085162,6.217248937900877e-15,2.842170943040401e-14
778609,cue_local_relearning,1.0829466995828438,2.6645352591003757e-15,1.4210854715202004e-14
778610,global_downweight,0.8506958673808066,6.439293542825908e-15,1.4210854715202004e-14
778611,cue_local_relearning,0.8972252227772985,1.7763568394002505e-15,1.4210854715202004e-14
778612,context_split,0.12148136542217272,1.7763568394002505e-15,1.4210854715202004e-14
778613,context_split,0.6759370682702222,1.3877787807814457e-15,1.4210854715202004e-14
778614,change_point,0.40254779578767463,1.3322676295501878e-15,1.4210854715202004e-14
