meta_state,gamma_min,gamma_max,gamma_l2_lr,policy_horizon,stable,dwell_times,precision_sign_changes,precision_amplitude,mean_dwell,max_dwell,refocus_count,policy_switches,gamma_l2_min,gamma_l2_max
high,0.8,10.0,0.8,5,True,1;1;1,0,4.2,1.0,1.0,3,6,0.8,5.0
low,0.8,10.0,0.8,5,True,3;3;3,0,9.15,3.0,3.0,9,6,0.85,10.0
high,0.8,10.0,0.8,8,True,1;1;1,0,4.2,1.0,1.0,3,6,0.8,5.0
low,0.8,10.0,0.8,8,True,3;3;3,0,9.15,3.0,3.0,9,6,0.85,10.0
high,0.8,10.0,0.8,12,True,1;1;1,0,4.2,1.0,1.0,3,6,0.8,5.0
low,0.8,10.0,0.8,12,True,3;3;3,0,9.15,3.0,3.0,15,6,0.85,10.0
high,0.8,10.0,1.2,1,False,1;1;1,12,5.04,1.0,1.0,0,0,0.8,5.84
low,0.8,10.0,1.2,1,False,3;1;1,10,9.2,1.6666666666666667,3.0,0,0,0.8,10.0
high,0.8,10.0,1.2,3,False,1;1;1,12,5.04,1.0,1.0,3,6,0.8,5.84
low,0.8,10.0,1.2,3,False,3;3;3,10,9.2,3.0,3.0,3,6,0.8,10.0
high,0.8,10.0,1.2,5,False,1;1;1,12,5.04,1.0,1.0,3,6,0.8,5.84
low,0.8,10.0,1.2,5,False,3;3;3,10,9.2,3.0,3.0,9,6,0.8,10.0
high,0.8,10.0,1.2,8,False,1;1;1,12,5.04,1.0,1.0,3,6,0.8,5.84
low,0.8,10.0,1.2,8,False,3;3;3,10,9.2,3.0,3.0,9,6,0.8,10.0
high,0.8,10.0,1.2,12,False,1;1;1,12,5.04,1.0,1.0,3,6,0.8,5.84
low,0.8,10.0,1.2,12,False,3;3;3,10,9.2,3.0,3.0,15,6,0.8,10.0
high,0.8,10.0,1.8,1,False,1;1;1,40,7.560000000000001,1.0,1.0,0,0,0.8,8.360000000000001
low,0.8,10.0,1.8,1,False,3;1;1,40,9.2,1.6666666666666667,3.0,0,0,0.8,10.0
high,0.8,10.0,1.8,3,False,1;1;1,40,7.560000000000001,1.0,1.0,3,6,0.8,8.360000000000001
low,0.8,10.0,1.8,3,False,3;3;3,40,9.2,3.0,3.0,3,6,0.8,10.0
high,0.8,10.0,1.8,5,False,1;1;1,40,7.560000000000001,1.0,1.0,3,6,0.8,8.360000000000001
low,0.8,10.0,1.8,5,False,3;3;3,40,9.2,3.0,3.0,9,6,0.8,10.0
high,0.8,10.0,1.8,8,False,1;1;1,40,7.560000000000001,1.0,1.0,3,6,0.8,8.360000000000001
low,0.8,10.0,1.8,8,False,3;3;3,40,9.2,3.0,3.0,9,6,0.8,10.0
high,0.8,10.0,1.8,12,False,1;1;1,40,7.560000000000001,1.0,1.0,3,6,0.8,8.360000000000001
low,0.8,10.0,1.8,12,False,3;3;3,40,9.2,3.0,3.0,15,6,0.8,10.0
high,0.8,10.0,2.2,1,False,2;1;1,40,9.2,1.3333333333333333,2.0,0,0,0.8,10.0
low,0.8,10.0,2.2,1,False,3;1;1,40,9.2,1.6666666666666667,3.0,0,0,0.8,10.0
high,0.8,10.0,2.2,3,False,2;2;2,40,9.2,2.0,2.0,6,6,0.8,10.0
low,0.8,10.0,2.2,3,False,3;3;3,40,9.2,3.0,3.0,3,6,0.8,10.0
high,0.8,10.0,2.2,5,False,2;2;2,40,9.2,2.0,2.0,6,6,0.8,10.0
low,0.8,10.0,2.2,5,False,3;3;3,40,9.2,3.0,3.0,9,6,0.8,10.0
high,0.8,10.0,2.2,8,False,2;2;2,40,9.2,2.0,2.0,6,6,0.8,10.0
low,0.8,10.0,2.2,8,False,3;3;3,40,9.2,3.0,3.0,9,6,0.8,10.0
high,0.8,10.0,2.2,12,False,2;2;2,40,9.2,2.0,2.0,6,6,0.8,10.0
low,0.8,10.0,2.2,12,False,3;3;3,40,9.2,3.0,3.0,15,6,0.8,10.0
high,0.8,10.0,2.8,1,False,2;1;1,40,9.2,1.3333333333333333,2.0,0,0,0.8,10.0
low,0.8,10.0,2.8,1,False,3;1;1,40,9.2,1.6666666666666667,3.0,0,0,0.8,10.0
high,0.8,10.0,2.8,3,False,2;2;2,40,9.2,2.0,2.0,6,6,0.8,10.0
low,0.8,10.0,2.8,3,False,3;3;3,40,9.2,3.0,3.0,3,6,0.8,10.0
high,0.8,10.0,2.8,5,False,2;2;2,40,9.2,2.0,2.0,6,6,0.8,10.0
low,0.8,10.0,2.8,5,False,3;3;3,40,9.2,3.0,3.0,9,6,0.8,10.0
high,0.8,10.0,2.8,8,False,2;2;2,40,9.2,2.0,2.0,6,6,0.8,10.0
low,0.8,10.0,2.8,8,False,3;3;3,40,9.2,3.0,3.0,9,6,0.8,10.0
high,0.8,10.0,2.8,12,False,2;2;2,40,9.2,2.0,2.0,6,6,0.8,10.0
low,0.8,10.0,2.8,12,False,3;3;3,40,9.2,3.0,3.0,15,6,0.8,10.0
high,0.2,14.0,0.0,1,True,7;1;1,0,0.0,3.0,7.0,0,0,0.2,0.2
low,0.2,14.0,0.0,1,True,1;1;1,0,0.0,1.0,1.0,0,0,14.0,14.0
high,0.2,14.0,0.0,3,True,7;3;5,0,0.0,5.0,7.0,3,6,0.2,0.2
low,0.2,14.0,0.0,3,True,1;1;1,0,0.0,1.0,1.0,3,6,14.0,14.0
high,0.2,14.0,0.0,5,True,7;3;5,0,0.0,5.0,7.0,20,4,0.2,0.2
low,0.2,14.0,0.0,5,True,1;1;1,0,0.0,1.0,1.0,3,6,14.0,14.0
high,0.2,14.0,0.0,8,True,7;3;5,0,0.0,5.0,7.0,31,1,0.2,0.2
low,0.2,14.0,0.0,8,True,1;1;1,0,0.0,1.0,1.0,3,6,14.0,14.0
high,0.2,14.0,0.0,12,True,7;3;5,0,0.0,5.0,7.0,42,0,0.2,0.2
low,0.2,14.0,0.0,12,True,1;1;1,0,0.0,1.0,1.0,3,6,14.0,14.0
high,0.2,14.0,0.3,1,True,1;1;1,0,4.7999978607532645,1.0,1.0,0,0,0.2,4.999997860753265
low,0.2,14.0,0.3,1,True,3;1;1,0,13.149994139355297,1.6666666666666667,3.0,0,0,0.850005860644703,14.0
high,0.2,14.0,0.3,3,True,1;1;1,0,4.7999978607532645,1.0,1.0,3,6,0.2,4.999997860753265
low,0.2,14.0,0.3,3,True,3;3;3,0,13.149994139355297,3.0,3.0,3,6,0.850005860644703,14.0
high,0.2,14.0,0.3,5,True,1;1;1,0,4.7999978607532645,1.0,1.0,3,6,0.2,4.999997860753265
low,0.2,14.0,0.3,5,True,3;3;3,0,13.149994139355297,3.0,3.0,9,6,0.850005860644703,14.0
high,0.2,14.0,0.3,8,True,1;1;1,0,4.7999978607532645,1.0,1.0,3,6,0.2,4.999997860753265
low,0.2,14.0,0.3,8,True,3;3;3,0,13.149994139355297,3.0,3.0,10,6,0.850005860644703,14.0
high,0.2,14.0,0.3,12,True,1;1;1,0,4.7999978607532645,1.0,1.0,4,7,0.2,4.999997860753265
low,0.2,14.0,0.3,12,True,3;3;3,0,13.149994139355297,3.0,3.0,15,6,0.850005860644703,14.0
high,0.2,14.0,0.8,1,True,1;1;1,0,4.8,1.0,1.0,0,0,0.2,5.0
low,0.2,14.0,0.8,1,True,3;1;1,0,13.15,1.6666666666666667,3.0,0,0,0.85,14.0
high,0.2,14.0,0.8,3,True,1;1;1,0,4.8,1.0,1.0,3,6,0.2,5.0
low,0.2,14.0,0.8,3,True,3;3;3,0,13.15,3.0,3.0,3,6,0.85,14.0
high,0.2,14.0,0.8,5,True,1;1;1,0,4.8,1.0,1.0,3,6,0.2,5.0
low,0.2,14.0,0.8,5,True,3;3;3,0,13.15,3.0,3.0,9,6,0.85,14.0
high,0.2,14.0,0.8,8,True,1;1;1,0,4.8,1.0,1.0,3,6,0.2,5.0
low,0.2,14.0,0.8,8,True,3;3;3,0,13.15,3.0,3.0,9,6,0.85,14.0
high,0.2,14.0,0.8,12,True,1;1;1,0,4.8,1.0,1.0,4,7,0.2,5.0
low,0.2,14.0,0.8,12,True,3;3;3,0,13.15,3.0,3.0,15,6,0.85,14.0
high,0.2,14.0,1.2,1,False,1;1;1,12,5.76,1.0,1.0,0,0,0.2,5.96
low,0.2,14.0,1.2,1,False,3;1;1,12,13.8,1.6666666666666667,3.0,0,0,0.2,14.0
high,0.2,14.0,1.2,3,False,1;1;1,12,5.76,1.0,1.0,3,6,0.2,5.96
low,0.2,14.0,1.2,3,False,3;3;3,12,13.8,3.0,3.0,3,6,0.2,14.0
high,0.2,14.0,1.2,5,False,1;1;1,12,5.76,1.0,1.0,3,6,0.2,5.96
low,0.2,14.0,1.2,5,False,3;3;3,12,13.8,3.0,3.0,9,6,0.2,14.0
high,0.2,14.0,1.2,8,False,1;1;1,12,5.76,1.0,1.0,3,6,0.2,5.96
