seed,regime,dominance,depth,correct_2d,loss_2d,loss_1d,scalar_truth
702451,blended_capture,1.0,0.0,true,0.00016715787485767393,0.5001669798766619,0.5
702451,self_led_witnessing,0.0,1.0,true,0.00030301129402069386,0.5002197237540955,0.5
702451,known_urgent_threat,1.0,1.0,true,0.0002346574480572824,0.0002337824205004321,1.0
702452,quiet_narrowing,0.0,0.0,true,1.2901877449950816e-5,4.61636945594266e-6,0.0
702452,blended_capture,1.0,0.0,true,0.00023756501172198647,0.500058150388191,0.5
702452,self_led_witnessing,0.0,1.0,true,0.00014805495735266985,0.5001470970625426,0.5
702452,known_urgent_threat,1.0,1.0,true,0.0004680589561516451,0.00046765623835692263,1.0
702453,quiet_narrowing,0.0,0.0,true,0.00012868727695987785,8.199508446646153e-5,0.0
702453,blended_capture,1.0,0.0,true,0.0003558156616489991,0.5003555893046997,0.5
702453,self_led_witnessing,0.0,1.0,true,0.0007645848703643828,0.50029346952616,0.5
702453,known_urgent_threat,1.0,1.0,true,0.0003445791491792215,0.0003380629143409161,1.0
702454,quiet_narrowing,0.0,0.0,true,6.686965920934877e-5,6.21030347750269e-5,0.0
702454,blended_capture,1.0,0.0,true,0.0002498774331003739,0.5000330387500777,0.5
702454,self_led_witnessing,0.0,1.0,true,0.0005606147477235595,0.500010824460278,0.5
702454,known_urgent_threat,1.0,1.0,true,0.0006783284455106505,0.00043481936232061185,1.0
702455,quiet_narrowing,0.0,0.0,true,0.0002901348376878836,3.3508318755255553e-5,0.0
702455,blended_capture,1.0,0.0,true,0.0008631556218823436,0.5000204660836819,0.5
702455,self_led_witnessing,0.0,1.0,true,0.0004642162454659876,0.500252301422107,0.5
702455,known_urgent_threat,1.0,1.0,true,0.00016930527360650287,1.8116586430773212e-5,1.0
702456,quiet_narrowing,0.0,0.0,true,0.0008385527569265145,2.4623715655169495e-5,0.0
702456,blended_capture,1.0,0.0,true,0.00029223343622087613,0.5002627681342555,0.5
702456,self_led_witnessing,0.0,1.0,true,0.0005598848407345931,0.5004600836833648,0.5
702456,known_urgent_threat,1.0,1.0,true,0.0006125878958531582,0.0004481172586979965,1.0
702457,quiet_narrowing,0.0,0.0,true,0.0005280754251218608,0.00012426201104102222,0.0
702457,blended_capture,1.0,0.0,true,0.0002462772201154095,0.5000133753790991,0.5
702457,self_led_witnessing,0.0,1.0,true,0.00017028311752954347,0.500165401749322,0.5
702457,known_urgent_threat,1.0,1.0,true,0.00055203624528612,0.00022007990809830668,1.0
702458,quiet_narrowing,0.0,0.0,true,3.291232574235521e-5,2.4927074091976485e-5,0.0
702458,blended_capture,1.0,0.0,true,0.000313174205440839,0.5000077171405389,0.5
702458,self_led_witnessing,0.0,1.0,true,0.0009543775039298876,0.500947863107085,0.5
702458,known_urgent_threat,1.0,1.0,true,0.0002609977325868915,0.00010743891395118979,1.0
702459,quiet_narrowing,0.0,0.0,true,0.0002920054943596217,7.822470401707208e-6,0.0
702459,blended_capture,1.0,0.0,true,0.00035634934913981596,0.5001855832955283,0.5
702459,self_led_witnessing,0.0,1.0,true,0.0007047632279349304,0.5001898095808022,0.5
702459,known_urgent_threat,1.0,1.0,true,0.0008252923789390234,0.0003895935130612465,1.0
702460,quiet_narrowing,0.0,0.0,true,0.00045283371545836517,0.00017166930823335345,0.0
702460,blended_capture,1.0,0.0,true,0.00011597502330628256,0.5001114423486231,0.5
702460,self_led_witnessing,0.0,1.0,true,0.0001795464914357443,0.5000007062266966,0.5
702460,known_urgent_threat,1.0,1.0,true,0.00034334071490365687,3.1043273604889013e-6,1.0
702461,quiet_narrowing,0.0,0.0,true,1.4893798906163061e-5,1.4178876090365046e-5,0.0
702461,blended_capture,1.0,0.0,true,2.747315965567564e-5,0.5000026314721001,0.5
702461,self_led_witnessing,0.0,1.0,true,9.176615695096316e-5,0.5000646028166801,0.5
702461,known_urgent_threat,1.0,1.0,true,0.00028937212339370534,6.533227463235992e-5,1.0
702462,quiet_narrowing,0.0,0.0,true,0.000847312715806599,0.0008466591373785712,0.0
702462,blended_capture,1.0,0.0,true,0.0004833228736603239,0.5000180379584221,0.5
702462,self_led_witnessing,0.0,1.0,true,3.7810535650291475e-5,0.50002961984944,0.5
702462,known_urgent_threat,1.0,1.0,true,0.00042628987206365637,6.689586174051083e-5,1.0
702463,quiet_narrowing,0.0,0.0,true,0.00066352992424582,0.00031202315004591534,0.0
702463,blended_capture,1.0,0.0,true,0.000631288855687259,0.5002637310580818,0.5
702463,self_led_witnessing,0.0,1.0,true,0.0006279139564772661,0.500437228240273,0.5
702463,known_urgent_threat,1.0,1.0,true,0.0007417643565723452,0.0005722984451818566,1.0
702464,quiet_narrowing,0.0,0.0,true,7.577094683416384e-5,7.283776500140705e-5,0.0
702464,blended_capture,1.0,0.0,true,0.0003121616602300637,0.5000546974891035,0.5
702464,self_led_witnessing,0.0,1.0,true,6.565459870926059e-5,0.5000576712997047,0.5
702464,known_urgent_threat,1.0,1.0,true,0.0004794434599154389,1.062627679212581e-5,1.0
702465,quiet_narrowing,0.0,0.0,true,9.870380322568562e-5,5.2389564575700544e-5,0.0
702465,blended_capture,1.0,0.0,true,0.0002724160818151035,0.5000784646954723,0.5
702465,self_led_witnessing,0.0,1.0,true,0.00030011125166433384,0.500296913632386,0.5
702465,known_urgent_threat,1.0,1.0,true,0.0008684764873103916,0.0007575417008167745,1.0
702466,quiet_narrowing,0.0,0.0,true,0.00014004688944381288,2.665071300208972e-5,0.0
702466,blended_capture,1.0,0.0,true,7.256548140530423e-5,0.5000519334395817,0.5
702466,self_led_witnessing,0.0,1.0,true,0.000506328964950332,0.5003743802989127,0.5
702466,known_urgent_threat,1.0,1.0,true,0.00030701987822066693,2.807346383113833e-6,1.0
702467,quiet_narrowing,0.0,0.0,true,3.9463155252827885e-5,3.842108172465795e-5,0.0
702467,blended_capture,1.0,0.0,true,0.00031039988476957525,0.5002357946708769,0.5
702467,self_led_witnessing,0.0,1.0,true,9.736374737558049e-5,0.5000627939256035,0.5
702467,known_urgent_threat,1.0,1.0,true,0.0016210479603711368,0.0009341759244105022,1.0
702468,quiet_narrowing,0.0,0.0,true,0.0007237681439464381,0.0006189928821981592,0.0
702468,blended_capture,1.0,0.0,true,0.000195520112079463,0.5000610514639594,0.5
702468,self_led_witnessing,0.0,1.0,true,0.00011457601591656907,0.5000039773600241,0.5
702468,known_urgent_threat,1.0,1.0,true,0.0009221725182818181,0.0008665295551394551,1.0
702469,quiet_narrowing,0.0,0.0,true,1.9524440546719623e-5,3.6703761452851725e-6,0.0
702469,blended_capture,1.0,0.0,true,8.175043570121149e-5,0.5000800112932382,0.5
702469,self_led_witnessing,0.0,1.0,true,0.00036108332481861986,0.5000578043321375,0.5
702469,known_urgent_threat,1.0,1.0,true,0.000144105035161343,7.786569173614257e-6,1.0
702470,quiet_narrowing,0.0,0.0,true,0.0013610182138058223,0.0012215436363225425,0.0
702470,blended_capture,1.0,0.0,true,0.00021837195255322046,0.5001992647901844,0.5
702470,self_led_witnessing,0.0,1.0,true,0.00024201732998062605,0.5001412392806526,0.5
702470,known_urgent_threat,1.0,1.0,true,0.000553273900009352,0.0005497637596520652,1.0
702471,quiet_narrowing,0.0,0.0,true,0.00017675697369445628,7.980983524026162e-5,0.0
702471,blended_capture,1.0,0.0,true,8.059364415450531e-5,0.5000791226506052,0.5
