seed,disposition,scaffold,positive_without_scaffold,permission_episode,root_episode,permission_before_root,descent,root_change
709482,trustworthy,coupled,false,5,7,true,true,0.47806751576736595
709482,trustworthy,decoupled,false,0,0,false,false,0.0
709482,neutral,coupled,false,16,19,true,true,0.28526256177706333
709482,neutral,decoupled,false,0,0,false,false,0.0
709482,adverse,coupled,false,0,0,false,false,0.0
709482,adverse,decoupled,false,0,0,false,false,0.0
709482,trustworthy,none,true,0,0,false,false,0.0
709483,trustworthy,coupled,false,4,6,true,true,0.4927401363594046
709483,trustworthy,decoupled,false,0,0,false,false,0.0
709483,neutral,coupled,false,0,0,false,false,0.0
709483,neutral,decoupled,false,0,0,false,false,0.0
709483,adverse,coupled,false,0,0,false,false,0.0
709483,adverse,decoupled,false,0,0,false,false,0.0
709483,trustworthy,none,true,0,0,false,false,0.0
709484,trustworthy,coupled,false,4,9,true,true,0.4365681580439701
709484,trustworthy,decoupled,false,0,0,false,false,0.0
709484,neutral,coupled,false,6,0,true,false,0.010739689519712714
709484,neutral,decoupled,false,0,0,false,false,0.0
709484,adverse,coupled,false,0,0,false,false,0.0
709484,adverse,decoupled,false,0,0,false,false,0.0
709484,trustworthy,none,true,0,0,false,false,0.0
709485,trustworthy,coupled,false,4,6,true,true,0.4886080491237019
709485,trustworthy,decoupled,false,0,0,false,false,0.0
709485,neutral,coupled,false,11,21,true,true,0.16001859522835526
709485,neutral,decoupled,false,0,0,false,false,0.0
709485,adverse,coupled,false,0,0,false,false,0.0
709485,adverse,decoupled,false,0,0,false,false,0.0
709485,trustworthy,none,true,0,0,false,false,0.0
709486,trustworthy,coupled,false,5,11,true,true,0.4552504623787075
709486,trustworthy,decoupled,false,0,0,false,false,0.0
709486,neutral,coupled,false,9,14,true,true,0.2829542063060386
709486,neutral,decoupled,false,0,0,false,false,0.0
709486,adverse,coupled,false,0,0,false,false,0.0
709486,adverse,decoupled,false,0,0,false,false,0.0
709486,trustworthy,none,true,0,0,false,false,0.0
709487,trustworthy,coupled,false,5,7,true,true,0.47812977089438025
709487,trustworthy,decoupled,false,0,0,false,false,0.0
709487,neutral,coupled,false,0,0,false,false,0.0
709487,neutral,decoupled,false,0,0,false,false,0.0
709487,adverse,coupled,false,0,0,false,false,0.0
709487,adverse,decoupled,false,0,0,false,false,0.0
709487,trustworthy,none,true,0,0,false,false,0.0
709488,trustworthy,coupled,false,5,7,true,true,0.4856667711844437
709488,trustworthy,decoupled,false,0,0,false,false,0.0
709488,neutral,coupled,false,14,16,true,true,0.15021862095617255
709488,neutral,decoupled,false,0,0,false,false,0.0
709488,adverse,coupled,false,0,0,false,false,0.0
709488,adverse,decoupled,false,0,0,false,false,0.0
709488,trustworthy,none,true,0,0,false,false,0.0
709489,trustworthy,coupled,false,4,6,true,true,0.4735117759480677
709489,trustworthy,decoupled,false,0,0,false,false,0.0
709489,neutral,coupled,false,18,0,true,false,0.09770040295829763
709489,neutral,decoupled,false,0,0,false,false,0.0
709489,adverse,coupled,false,0,0,false,false,0.0
709489,adverse,decoupled,false,0,0,false,false,0.0
709489,trustworthy,none,true,0,0,false,false,0.0
709490,trustworthy,coupled,false,5,7,true,true,0.45305417258285974
709490,trustworthy,decoupled,false,0,0,false,false,0.0
709490,neutral,coupled,false,12,16,true,true,0.1625474347846655
709490,neutral,decoupled,false,0,0,false,false,0.0
709490,adverse,coupled,false,0,0,false,false,0.0
709490,adverse,decoupled,false,0,0,false,false,0.0
709490,trustworthy,none,true,0,0,false,false,0.0
709491,trustworthy,coupled,false,4,6,true,true,0.4927401363594046
709491,trustworthy,decoupled,false,0,0,false,false,0.0
709491,neutral,coupled,false,0,0,false,false,0.0
709491,neutral,decoupled,false,0,0,false,false,0.0
709491,adverse,coupled,false,0,0,false,false,0.0
709491,adverse,decoupled,false,0,0,false,false,0.0
709491,trustworthy,none,true,0,0,false,false,0.0
