seed,truth,nearest_family,nearest_complexity_gap,complexity_per_observation
781031,global_downweight,context_split,0.038688174382077334,"[0.2950794429398238, 0.3901601705195068, 0.25639126855774647, 0.3832649061088529, 0.1908015472536058]"
781032,global_downweight,context_split,0.04120568036716782,"[0.29216844985277163, 0.37559182060581103, 0.2509627694856038, 0.36804322112820786, 0.1345639049668388]"
781033,global_downweight,context_split,0.04934701393878746,"[0.2572900943762105, 0.33130601117216635, 0.20794308043742302, 0.3333102838829671, 0.1511868137252671]"
781034,global_downweight,context_split,0.02594792282273925,"[0.2273104593331133, 0.3122170198599283, 0.20136253651037406, 0.3130557344835826, 0.10839755576137468]"
781035,global_downweight,context_split,0.010103015796833426,"[0.2804688329967226, 0.3640401643347159, 0.27036581719988917, 0.3890626272102562, 0.09547334964314518]"
781036,global_downweight,context_split,0.020560553535516224,"[0.2753173950147994, 0.3581656081661324, 0.2547568414792832, 0.34068762045068607, 0.11149400602157239]"
781037,global_downweight,context_split,0.013397104109202196,"[0.31526364256218464, 0.3998900301482125, 0.30186653845298245, 0.38708804842148, 0.23699390050441235]"
781038,global_downweight,context_split,0.06680027588728213,"[0.3146455523638813, 0.38796679549131236, 0.24784527647659918, 0.4010966029674898, 0.1922083574028243]"
781039,global_downweight,context_split,0.001762916624365285,"[0.31703663340185034, 0.38819512274669776, 0.31527371677748506, 0.40270911846958474, 0.05639577700510203]"
781040,global_downweight,context_split,0.0012034238757823723,"[0.3054871046407241, 0.3868676232865363, 0.3042836807649417, 0.39699633936011, 0.21660895817786874]"
781041,global_downweight,context_split,0.004547286539621664,"[0.26169188122524906, 0.34312531037788085, 0.2662391677648707, 0.3498592681812102, 0.2052139775823535]"
781042,global_downweight,change_point,0.054085529050183184,"[0.2372130061530431, 0.32504713883979747, 0.1829447524204529, 0.3381947833416718, 0.18312747710285993]"
781043,global_downweight,continuous_drift,0.04604359013715634,"[0.2445975947561115, 0.31556014444081737, 0.18963247503111078, 0.29064118489326785, 0.06437824577057129]"
781044,global_downweight,context_split,0.04988198285095424,"[0.30724904299242833, 0.39052575056143785, 0.2573670601414741, 0.40451749852898433, 0.21767165949252001]"
781045,global_downweight,context_split,0.020691965836872606,"[0.22966101519791457, 0.31664202344525594, 0.20896904936104196, 0.3341346640155685, 0.12730022180238107]"
781046,global_downweight,context_split,0.053528293962895795,"[0.29784535216344854, 0.38927384156379646, 0.24431705820055274, 0.4122691858419773, 0.07812472381506955]"
781047,global_downweight,context_split,0.042570835392821305,"[0.2357064101826751, 0.31180282434021245, 0.1931355747898538, 0.3188682888965372, 0.17350631627514113]"
781048,global_downweight,context_split,0.03158890943421899,"[0.2791817788381361, 0.3680996657959055, 0.24759286940391712, 0.3779121163528664, 0.196461689908249]"
781049,global_downweight,context_split,0.01481735333832307,"[0.2863246111633646, 0.37138995028606575, 0.3011419645016877, 0.3720912251580896, 0.08522980617925345]"
781050,global_downweight,context_split,0.03113285568658619,"[0.35351080753288255, 0.4258590667452826, 0.32237795184629636, 0.41862538292310775, 0.25674961000001567]"
781051,global_downweight,cue_local_relearning,0.08129881643413811,"[0.3220383449300068, 0.40333716136414494, 0.2277119435861964, 0.41123112953590074, 0.06726590697757384]"
