seed,acute_final,gradual_final,overwhelm_control_final,low_control_final,high_control_final,adaptive_threat_final,closed_loop_final,exact_replay_final,closed_loop_avoidance_rate,exact_replay_avoidance_rate,closed_loop_adverse_transition_rate,exact_replay_adverse_transition_rate,closed_loop_adverse_outcome_rate,exact_replay_adverse_outcome_rate,closed_loop_root,exact_replay_root,closed_loop_mediator,exact_replay_mediator
63620,0.8296967499474559,0.9793501799223203,0.16388131157226132,0.9292484436524937,0.7376273886603205,0.894245160307337,0.47379263667359417,0.37691999092852857,0.4375,0.0,0.375,0.0,0.375,0.0,0.9230581231022027,0.26538640213714454,0.375,0.0
63621,0.6817857859189097,0.9382641308200466,0.6550716900662398,0.9685687161038208,0.7383599469207854,0.8304089947225208,0.47508491078131143,0.4480480359016844,0.3125,0.0,0.3125,0.0,0.25,0.1875,0.41568268687995835,0.3640066218356889,0.3125,0.0
63622,0.8352381608983053,0.9370807295024147,0.19411501041576476,0.961071292233332,0.7187454097892374,0.7718350202852075,0.6302431789749662,0.4552620399388763,0.6875,0.0,0.625,0.0,0.5625,0.0625,0.9951474098414932,0.20616237248402586,0.625,0.0
63623,0.7601117054819264,0.8730466112570959,0.15447360701331506,0.9534574356164319,0.8098561121666382,0.9130875751862613,0.5975274969718106,0.4860723256764513,0.5625,0.0,0.5625,0.0625,0.5,0.125,0.9871533175883078,0.5242501085272022,0.5625,-0.0
63624,0.8242589649029692,0.9743344975160184,0.22756979925779147,0.960707814632997,0.7813547775399324,0.8486434962935564,0.47706502085030866,0.5175056114638461,0.1875,0.0,0.1875,0.0,0.25,0.3125,0.4808850009135127,0.8931532155617439,0.1875,0.0
63625,0.6979509571319406,0.9653985478712964,0.26326909969749557,0.9474615081224319,0.8027820962040013,0.9126228297183873,0.5065875974063374,0.4122342407914559,0.25,0.0,0.25,0.0625,0.25,0.0625,0.5781311062099586,0.4078721192285247,0.16666666666666666,-0.0
63626,0.7115813546585315,0.9423609543955509,0.23862894446063687,0.934571269195209,0.7390860204610177,0.8758152855672413,0.47156664057683073,0.4917449789605765,0.3125,0.0,0.3125,0.0625,0.3125,0.1875,0.876472154845577,0.779382286970036,0.3125,-0.0
63627,0.8155376891780316,0.9300959069392991,0.3000640910898923,0.9540179837739677,0.7602262832953921,0.9187164349894614,0.41319578249655603,0.4409787723219928,0.0625,0.0,0.125,0.0625,0.1875,0.125,0.10732059713282406,0.4373944615098199,0.058333333333333334,-0.0
63628,0.8386185029460976,0.9432890333021325,0.5460686838797898,0.9358026073126853,0.7579193860832211,0.863278520129035,0.554550794121609,0.468399093233576,0.375,0.0,0.375,0.0,0.4375,0.0625,0.9700657035480776,0.5252941995550854,0.375,0.0
63629,0.7431273319892027,0.9415027484898696,0.35693728533063485,0.9413026922410744,0.7658716814058738,0.7799858771875537,0.4760588581118351,0.4557135488430609,0.25,0.0,0.1875,0.0,0.1875,0.0,0.18248434388623175,0.11674446530695454,0.1875,0.0
