seed,regularity,run_length,acute_timing,acute_count,low_control_fraction,uncontrollability_log_evidence,cumulative_overwhelm_precision,final_persistent_probability,maximum_step
63106,bernoulli,64,early,3,0.75,1.2973663411132268,-0.45104713463382234,0.7066870046027814,0.07312694941786746
63107,clustered,64,early,3,0.25,-1.822336033024926,0.3027246677425578,0.7267799847584616,0.04915763260486067
63108,periodic,80,early,3,1.0,0.9747314302870128,0.3027246677425578,0.7440101111063042,0.04435605892892025
63109,jittered,80,early,3,0.5,-0.287446190469375,0.3027246677425578,0.6262564791268426,0.05209643431546296
63110,bernoulli,80,early,3,0.0,-2.275345661652137,0.3027246677425578,0.8173419585092113,0.058180524985896875
63111,clustered,80,early,3,0.75,-2.0603601857269442,0.3027246677425578,0.6874129972249716,0.057127349310179654
63112,periodic,16,middle,3,0.25,-0.5571936232219381,0.3027246677425578,0.4731945828101325,0.04243009935223324
63113,jittered,16,middle,3,1.0,-0.1675430075778105,0.3027246677425578,0.3993594475675979,0.03209800556198317
63114,bernoulli,16,middle,3,0.5,-0.7379514681109327,0.3027246677425578,0.4430533195518957,0.03526155687545579
63115,clustered,16,middle,3,0.0,-2.5237253113617215,0.3027246677425578,0.33851433269295644,0.043334368747199314
63116,periodic,32,middle,3,0.75,2.6505096100914085,0.3027246677425578,0.722122232558506,0.05088083402796917
63117,jittered,32,middle,3,0.25,-1.0683681127542304,0.3027246677425578,0.5551163661002452,0.03740707086244044
63118,bernoulli,32,middle,3,1.0,0.8822448574801841,-0.45104713463382234,0.5865770493130559,0.03986090703200523
63119,clustered,32,middle,3,0.5,0.14222184840398353,0.3027246677425578,0.6275232725846357,0.04959779700601241
63120,periodic,64,middle,3,0.0,-2.5381881394811527,0.3027246677425578,0.626698891942541,0.05258806351321865
63121,jittered,64,middle,3,0.75,-0.0631440325639401,-0.45104713463382234,0.6925054550250818,0.056334155593805446
63122,bernoulli,64,middle,3,0.25,-1.2207968469511576,0.3027246677425578,0.6697567518400005,0.04258809477015035
63123,clustered,64,middle,3,1.0,1.8316412463536922,0.3027246677425578,0.7086274002664374,0.06028003643633095
63124,periodic,80,middle,3,0.5,-0.22416145771116447,0.3027246677425578,0.6637649762725185,0.05891858392147076
63125,jittered,80,middle,3,0.0,-2.4061594330157376,-0.45104713463382234,0.6365687102638287,0.05351016502488948
63126,bernoulli,80,middle,3,0.75,2.4267691949291024,0.3027246677425578,0.7451102115966973,0.03849455190608497
63127,clustered,80,middle,3,0.25,-3.094297843196364,-0.45104713463382234,0.599691895229517,0.059617237308501436
63128,periodic,16,late,3,1.0,1.1218867777586565,0.3027246677425578,0.5673321672252454,0.05650752637371159
63129,jittered,16,late,3,0.5,0.2554100386531284,-0.45104713463382234,0.482091900821494,0.06618525861986957
63130,bernoulli,16,late,3,0.0,-1.3538824006509644,0.3027246677425578,0.3783577335328133,0.04554827552730356
63131,clustered,16,late,3,0.75,0.21248290932487487,0.3027246677425578,0.5445330393462544,0.051566457688795864
63132,periodic,32,late,3,0.25,-2.3081708598383504,0.3027246677425578,0.38284173492891327,0.053892986201360515
63133,jittered,32,late,3,1.0,1.0447478789694575,-0.45104713463382234,0.6655491840534669,0.04970149101839594
