seed,stage,episode,phase,world,model,arm,guide_regime,contact_mode,precision_mode,root,bundle_self,bundle_world,bundle_policy,bundle_outcome,probability_positive,root_correct,root_log_loss,root_brier,bundle_accuracy,transfer_accuracy,false_root_revision,false_component_revision,time_to_correct,first_action,second_action,expected_information_gain,realized_information_gain,joint_bundle_log_score,forecast_error,release_weight,replay_exact,contact_value
17020,43B,34,heldout_before,factorized,factorized,scaffolded,accurate_stable,present,adaptive_global,1,-1,1,-1,1,0.3810502770736561,false,0.9648239517382553,0.38309875951059785,0.5,0.0,true,0.5,-1,1,2,0.02234901521501298,0.02500426175422954,-2.57676764245786,0.5837895699852994,0.28476762659232513,true,0.42089794301916006
17020,43B,34,heldout_before,factorized,factorized,conclusion,accurate_stable,present,adaptive_global,1,-1,1,-1,1,0.7927159258440623,true,0.23229034870874524,0.0429666873986843,0.5,0.5,false,0.5,1,0,0,0.17924990084435222,0.17924990084435222,-2.57676764245786,0.586286198662598,0.2836059573749874,true,0.42089794301916006
17020,43B,34,heldout_before,factorized,factorized,conclusion_info_matched,accurate_stable,present,adaptive_global,1,-1,1,-1,1,0.6925407782262588,true,0.3673881571290445,0.09453117305371457,0.5,0.5,false,0.5,1,0,0,0.07253134267492534,0.07253134267492534,-2.57676764245786,0.5862607465321084,0.2836059573749874,true,0.42089794301916006
17020,43B,34,heldout_before,factorized,factorized,scaffolded,noisy,present,adaptive_global,1,-1,1,-1,1,0.3810502770736561,false,0.9648239517382553,0.38309875951059785,0.5,0.0,true,0.5,-1,1,2,0.022120945070517317,0.02500426175422954,-2.57676764245786,0.5837895699852994,0.28476762659232513,true,0.42089794301916006
17020,43B,34,heldout_before,factorized,factorized,conclusion,noisy,present,adaptive_global,1,-1,1,-1,1,0.7927159258440623,true,0.23229034870874524,0.0429666873986843,0.5,0.5,false,0.5,1,0,0,0.17924990084435222,0.17924990084435222,-2.57676764245786,0.586286198662598,0.2836059573749874,true,0.42089794301916006
17020,43B,34,heldout_before,factorized,factorized,conclusion_info_matched,noisy,present,adaptive_global,1,-1,1,-1,1,0.6925407782262588,true,0.3673881571290445,0.09453117305371457,0.5,0.5,false,0.5,1,0,0,0.07253134267492534,0.07253134267492534,-2.57676764245786,0.5862607465321084,0.2836059573749874,true,0.42089794301916006
17020,43B,34,heldout_before,factorized,factorized,scaffolded,systematically_wrong,present,adaptive_global,1,-1,1,-1,1,0.3114094987350193,false,1.1666465167236948,0.4741568784323573,0.75,0.5,true,0.25,-1,3,1,0.00044043112528990846,0.06935731002815637,-2.57676764245786,0.5855756991099842,0.2845414936008536,true,0.42089794301916006
17020,43B,34,heldout_before,factorized,factorized,conclusion,systematically_wrong,present,adaptive_global,1,-1,1,-1,1,0.15713732497593522,false,1.8506351745692824,0.7104174889487221,0.5,0.5,true,0.5,-1,0,0,0.2546818869528076,0.2546818869528076,-2.57676764245786,0.5861298893303929,0.2836059573749874,true,0.42089794301916006
17020,43B,34,heldout_before,factorized,factorized,conclusion_info_matched,systematically_wrong,present,adaptive_global,1,-1,1,-1,1,0.24041232942114937,false,1.425399790526617,0.5769734292954046,0.25,0.25,true,0.75,-1,0,0,0.1380208971825334,0.1380208971825334,-2.57676764245786,0.5861496061392203,0.2836059573749874,true,0.42089794301916006
17020,43B,34,heldout_before,factorized,factorized,scaffolded,context_switch,present,adaptive_global,1,-1,1,-1,1,0.3810502770736561,false,0.9648239517382553,0.38309875951059785,0.5,0.0,true,0.5,-1,1,2,0.02234901521501298,0.02500426175422954,-2.57676764245786,0.5837895699852994,0.28476762659232513,true,0.42089794301916006
