seed,cell,truth,slice_index,event,precision,control,broadcast,real_danger,persistent_probability,absolute_persistent_posterior_change,maximum_absolute_pairwise_log_bf,exceeds_empirical_p99,exceeds_multiplied_bound,exceeds_analytic_bound
813344,P_favoring,P,16,1,overwhelm,low,collapsed,0,0.9999996192360918,7.639460430919343e-08,0.19493764530120528,0,0,0
813344,P_favoring,P,17,1,overwhelm,low,collapsed,0,0.9999999525096255,3.332735336591952e-07,2.3196827878973805,0,0,0
813344,P_favoring,P,18,1,overwhelm,low,collapsed,0,0.9999999940351905,4.152556498659976e-08,2.3196827878973805,0,0,0
813344,P_favoring,P,19,1,overwhelm,low,collapsed,0,0.99999999924659,5.2113995341329655e-09,2.3196827878973805,0,0,0
813344,P_favoring,P,20,1,overwhelm,low,collapsed,0,0.9999999999044111,6.578211309005155e-10,2.3196827878973805,0,0,0
813344,P_favoring,P,21,1,overwhelm,low,collapsed,0,0.9999999999878293,8.341816126744561e-11,2.3196827878973805,0,0,0
813344,P_favoring,P,22,1,overwhelm,low,collapsed,0,0.9999999999984461,1.0616840739885447e-11,2.3196827878973805,0,0,0
813344,P_favoring,P,23,1,overwhelm,low,collapsed,0,0.9999999999998012,1.3550272015550036e-12,2.3196827878973805,0,0,0
813345,P_favoring,P,0,1,overwhelm,low,collapsed,0,0.10974194918760467,0.14025805081239534,1.0735736801623024,0,0,0
813345,P_favoring,P,1,1,overwhelm,low,collapsed,0,0.529975262631129,0.4202333134435244,2.3196827878973805,1,0,0
813345,P_favoring,P,2,1,overwhelm,low,collapsed,0,0.910162119083294,0.380186856452165,2.3196827878973805,1,0,0
813345,P_favoring,P,3,1,overwhelm,low,collapsed,0,0.9889359864871633,0.07877386740386927,2.3196827878973805,0,0,0
813345,P_favoring,P,4,1,overwhelm,low,collapsed,0,0.9987105446009618,0.00977455811379846,2.3196827878973805,0,0,0
813345,P_favoring,P,5,1,overwhelm,low,collapsed,0,0.9963965408345443,0.0023140037664174384,1.0735736801623024,0,0,0
813345,P_favoring,P,6,1,overwhelm,low,collapsed,0,0.9530840237593045,0.043312517075239865,2.670557431416735,0,0,0
813345,P_favoring,P,7,1,overwhelm,low,collapsed,0,0.9942445776352409,0.04116055387593642,2.3196827878973805,0,0,0
813345,P_favoring,P,8,1,overwhelm,low,collapsed,0,0.9993090443047054,0.0050644666694644735,2.3196827878973805,0,0,0
813345,P_favoring,P,9,1,overwhelm,low,collapsed,0,0.999916266632236,0.0006072223275306321,2.3196827878973805,0,0,0
813345,P_favoring,P,10,1,overwhelm,low,collapsed,0,0.9999897359829959,7.346935075991379e-05,2.3196827878973805,0,0,0
813345,P_favoring,P,11,1,overwhelm,low,collapsed,0,0.9999914180919396,1.6821089436902525e-06,0.19493764530120528,0,0,0
813345,P_favoring,P,12,1,overwhelm,low,collapsed,0,0.9999989408764502,7.522784510660685e-06,2.3196827878973805,0,0,0
813345,P_favoring,P,13,1,overwhelm,low,collapsed,0,0.9999991164088997,1.7553244946455493e-07,0.19493764530120528,0,0,0
813345,P_favoring,P,14,1,overwhelm,low,collapsed,0,0.9999998902900684,7.738811687030278e-07,2.3196827878973805,0,0,0
813345,P_favoring,P,15,1,overwhelm,low,collapsed,0,0.9999999862706724,9.598060402016273e-08,2.3196827878973805,0,0,0
813345,P_favoring,P,16,1,overwhelm,low,collapsed,0,0.9999999982709317,1.200025923075998e-08,2.3196827878973805,0,0,0
813345,P_favoring,P,17,1,overwhelm,low,collapsed,0,0.9999999985668342,2.9590252470512723e-10,0.19493764530120528,0,0,0
813345,P_favoring,P,18,1,overwhelm,low,collapsed,0,0.9999999998188809,1.2520466885490578e-09,2.3196827878973805,0,0,0
813345,P_favoring,P,19,1,overwhelm,low,collapsed,0,0.9999999999770107,1.5812984255347828e-10,2.3196827878973805,0,0,0
813345,P_favoring,P,20,1,overwhelm,low,collapsed,0,0.9999999999970719,2.0061174943464266e-11,2.3196827878973805,0,0,0
813345,P_favoring,P,21,1,overwhelm,low,collapsed,0,0.9999999999996261,2.554179090452635e-12,2.3196827878973805,0,0,0
813345,P_favoring,P,22,1,overwhelm,low,collapsed,0,0.9999999999999521,3.260725023324085e-13,2.3196827878973805,0,0,0
813345,P_favoring,P,23,1,overwhelm,low,collapsed,0,0.9999999999999939,4.1744385725905886e-14,2.3196827878973805,0,0,0
813346,P_favoring,P,0,1,overwhelm,low,collapsed,0,0.7544486293022921,0.5044486293022921,2.3196827878973805,1,0,0
813346,P_favoring,P,1,1,overwhelm,low,collapsed,0,0.9653133866896916,0.21086475738739952,2.3196827878973805,0,0,0
813346,P_favoring,P,2,1,overwhelm,low,collapsed,0,0.910162119083294,0.05515126760639755,1.0735736801623024,0,0,0
813346,P_favoring,P,3,1,overwhelm,low,collapsed,0,0.9889359864871633,0.07877386740386927,2.3196827878973805,0,0,0
813346,P_favoring,P,4,1,overwhelm,low,collapsed,0,0.9987105446009618,0.00977455811379846,2.3196827878973805,0,0,0
813346,P_favoring,P,5,1,overwhelm,low,collapsed,0,0.9998484475883933,0.0011379029874315494,2.3196827878973805,0,0,0
813346,P_favoring,P,6,1,overwhelm,low,collapsed,0,0.9999819230297755,0.00013347544138220258,2.3196827878973805,0,0,0
813346,P_favoring,P,7,1,overwhelm,low,collapsed,0,0.999997813563299,1.5890533523466033e-05,2.3196827878973805,0,0,0
813346,P_favoring,P,8,1,overwhelm,low,collapsed,0,0.9999997323119841,1.9187486851590663e-06,2.3196827878973805,0,0,0
813346,P_favoring,P,9,1,overwhelm,low,collapsed,0,0.9999999668874677,2.3457548359306912e-07,2.3196827878973805,0,0,0
813346,P_favoring,P,10,1,overwhelm,low,collapsed,0,0.99999999586894,2.8981472222078253e-08,2.3196827878973805,0,0,0
813346,P_favoring,P,11,1,overwhelm,low,collapsed,0,0.9999999880586592,7.81028075547141e-09,1.0735736801623024,0,0,0
813346,P_favoring,P,12,1,overwhelm,low,collapsed,0,0.9999999984958572,1.0437197994761505e-08,2.3196827878973805,0,0,0
813346,P_favoring,P,13,1,overwhelm,low,collapsed,0,0.999999998753334,2.5747681764443087e-10,0.19493764530120528,0,0,0
813346,P_favoring,P,14,1,overwhelm,low,collapsed,0,0.9999999998424273,1.0890932600204906e-09,2.3196827878973805,0,0,0
813346,P_favoring,P,15,1,overwhelm,low,collapsed,0,0.9999999999799972,1.375699554273524e-10,2.3196827878973805,0,0,0
813346,P_favoring,P,16,1,overwhelm,low,collapsed,0,0.9999999999417989,3.8198333385253136e-11,1.0735736801623024,0,0,0
813346,P_favoring,P,17,1,overwhelm,low,collapsed,0,0.9999999999925773,5.077838149958325e-11,2.3196827878973805,0,0,0
813346,P_favoring,P,18,1,overwhelm,low,collapsed,0,0.9999999999990511,6.47382147889175e-12,2.3196827878973805,0,0,0
813346,P_favoring,P,19,1,overwhelm,low,collapsed,0,0.9999999999998784,8.273381979506667e-13,2.3196827878973805,0,0,0
813346,P_favoring,P,20,1,overwhelm,low,collapsed,0,0.9999999999999845,1.0602629885170245e-13,2.3196827878973805,0,0,0
813346,P_favoring,P,21,1,overwhelm,low,collapsed,0,0.999999999999998,1.354472090042691e-14,2.3196827878973805,0,0,0
813346,P_favoring,P,22,1,overwhelm,low,collapsed,0,0.9999999999999941,3.885780586188048e-15,1.0735736801623024,0,0,0
813346,P_favoring,P,23,1,overwhelm,low,collapsed,0,0.9999999999999952,1.1102230246251565e-15,0.19493764530120528,0,0,0
813347,P_favoring,P,0,1,overwhelm,low,collapsed,0,0.7544486293022921,0.5044486293022921,2.3196827878973805,1,0,0
813347,P_favoring,P,1,1,overwhelm,low,collapsed,0,0.9653133866896916,0.21086475738739952,2.3196827878973805,0,0,0
813347,P_favoring,P,2,1,overwhelm,low,collapsed,0,0.9698218507318453,0.00450846404215377,0.19493764530120528,0,0,0
813347,P_favoring,P,3,1,overwhelm,low,collapsed,0,0.9965355339363103,0.02671368320446499,2.3196827878973805,0,0,0
813347,P_favoring,P,4,1,overwhelm,low,collapsed,0,0.9996045938859898,0.0030690599496794313,2.3196827878973805,0,0,0
813347,P_favoring,P,5,1,overwhelm,low,collapsed,0,0.9999541830122527,0.00034958912626292804,2.3196827878973805,0,0,0
813347,P_favoring,P,6,1,overwhelm,low,collapsed,0,0.9999609693071521,6.786294899363554e-06,0.19493764530120528,0,0,0
813347,P_favoring,P,7,1,overwhelm,low,collapsed,0,0.9998907902340349,7.017907311712701e-05,1.0735736801623024,0,0,0
813347,P_favoring,P,8,1,overwhelm,low,collapsed,0,0.9999871120684528,9.632183441787845e-05,2.3196827878973805,0,0,0
813347,P_favoring,P,9,1,overwhelm,low,collapsed,0,0.999963562505362,2.35495630908078e-05,1.0735736801623024,0,0,0
813347,P_favoring,P,10,1,overwhelm,low,collapsed,0,0.9999956068947604,3.2044389398411255e-05,2.3196827878973805,0,0,0
813347,P_favoring,P,11,1,overwhelm,low,collapsed,0,0.9999994636264308,3.856731670359714e-06,2.3196827878973805,0,0,0
813347,P_favoring,P,12,1,overwhelm,low,collapsed,0,0.9999999338047124,4.7017828164186426e-07,2.3196827878973805,0,0,0
