group,seed,material_redescription,raw_cs_argmax,pi0,pi1,q0,q1,bf,log_bf,recombination_error,transition_00,transition_01,transition_10,transition_11,transition_mean_00,transition_mean_11,occupancy_then,occupancy_now,occupancy_min_fraction,cue_marker_outcome_contrast,cue_first_second_contrast,marker_aligned_log_signal,marker_switch_rate
neutral,788539,False,False,0.07258064516129031,0.9274193548387097,0.11656820036960937,0.8834317996303906,0.593113221456787,-0.5223699682652221,0.0,18.879321515014095,1.2825835839936786,1.3148298023140057,1.5232650986782243,0.8911678962844537,0.7417973750873418,21.12626487867123,2.8737351213287727,0.11973896338869887,0.33333333333333337,0.3333333333333333,8.359004741124814,0.4782608695652174
neutral,788540,True,True,0.07258064516129031,0.9274193548387097,1.1263041306574994e-08,0.9999999887369586,6948466.808700748,15.754031590139899,0.0,7.250802384259863,5.4079616416597736,4.577387795687117,5.7638481783932525,0.6730641780290524,0.6766475840470908,12.7508466691627,11.249153330837308,0.468714722118221,0.25,0.0,7.491087593534876,0.5217391304347826
neutral,788541,False,False,0.07258064516129031,0.9274193548387097,0.08274053596749746,0.9172594640325026,0.8675979969516755,-0.14202680875537066,0.0,21.027072118646352,0.950847766550148,0.16390861331467776,0.8581715014888321,0.9077223353756609,0.8036751147899587,22.123620284239042,1.8763797157609685,0.07818248815670699,0.0357142857142857,-0.08333333333333333,7.9985873803312835,0.17391304347826086
neutral,788542,False,False,0.07258064516129031,0.9274193548387097,0.00011044177482572524,0.9998895582251742,708.5382901475783,6.56320410163312,0.0,3.6469028684925395,5.524849348578484,4.796042528444013,9.03220525448495,0.6075033067724418,0.714790504515702,9.184047118712131,14.815952881287854,0.38266862994633905,-0.25555555555555554,0.08333333333333333,-2.793208009442517,0.5652173913043478
neutral,788543,True,True,0.07258064516129031,0.9274193548387097,8.196584997709049e-07,0.9999991803415004,95479.77046526625,11.466669676441354,0.0,4.680558182233431,3.4503965474176317,2.8466036157904346,12.0224416545585,0.6993872287097963,0.8051150109260936,8.5183436533899,15.481656346610096,0.3549309855579126,0.08333333333333336,-0.25,3.855452653939752,0.5652173913043478
neutral,788544,False,False,0.07258064516129031,0.9274193548387097,0.005271469482336001,0.994728530517664,14.767859330401649,2.6924531524173005,0.0,14.401043612212407,2.75011211839669,2.7498171236789135,3.099027145711984,0.8250493582841629,0.7003051425741936,18.14490066963595,5.855099330364047,0.243962472098502,-0.1722222222222222,0.08333333333333333,-1.1143606456362496,0.6521739130434783
neutral,788545,True,True,0.07258064516129031,0.9274193548387097,1.191764750515267e-05,0.9999880823524948,6566.726935489936,8.789770804009244,0.0,4.216188946259027,3.017735470751601,2.80152123988091,12.96455434310847,0.708845452182738,0.813649493326378,7.899538841933328,16.100461158066683,0.3291474517472219,0.26666666666666666,-0.4166666666666667,6.319740016525016,0.5652173913043478
neutral,788546,False,True,0.07258064516129031,0.9274193548387097,0.3515446817312098,0.6484553182687902,0.14435910915218345,-1.9354512702422215,4.70197740328915e-38,0.06861194069729898,0.9420407930217195,1.2493347502409884,20.740012516039997,0.732800510181198,0.8984244747730125,1.3600226777145212,22.639977322285482,0.056667611571438375,-0.19444444444444442,0.08333333333333333,8.317766166719343,0.5652173913043478
neutral,788547,True,True,0.07258064516129031,0.9274193548387097,5.6719692268879706e-08,0.9999999432803077,1379782.9641826912,14.137436772433414,0.0,6.13847611828862,4.837515867511823,5.583496696911742,6.440511317287821,0.6740313463057941,0.6556713613606376,11.753540063431577,12.246459936568428,0.48973083597631556,0.3111111111111111,0.0,6.068425588244111,0.6521739130434783
neutral,788548,False,False,0.07258064516129031,0.9274193548387097,1.957492057068705e-06,0.999998042507943,39980.09396134169,10.596136958260276,0.0,8.59870214993927,4.266365486677363,4.182590972472587,5.952341390910752,0.7259415285244001,0.6929420540932124,13.774275862007551,10.22572413799242,0.42607183908301804,0.033333333333333305,0.0,-2.484906649788,0.5652173913043478
neutral,788549,False,False,0.07258064516129031,0.9274193548387097,1.5558475203736804e-06,0.9999984441524796,50301.03964457971,10.825781024752557,0.0,8.23654591549282,4.04052513108158,4.099905812856701,6.623023140568891,0.7288456315261226,0.7056446110216307,12.417089395582487,11.582910604417506,0.4826212751840629,-0.22222222222222224,0.5,-4.143134726391532,0.6956521739130435
neutral,788550,False,False,0.07258064516129031,0.9274193548387097,0.00689064516244926,0.9931093548375507,11.279292410307887,2.422968514519696,0.0,14.405761227811604,2.950683743853958,2.9562921078207745,2.687262920513646,0.8190304424064739,0.6831735434277132,18.351392981715723,5.6486070182842605,0.23535862576184435,0.08333333333333334,0.08333333333333333,-0.5389965007326873,0.6086956521739131
neutral,788551,False,False,0.07258064516129031,0.9274193548387097,2.753265532414847e-05,0.9999724673446759,2842.3961987796642,7.952402707378194,0.0,4.58331351695901,4.074710181869517,4.308013481327972,10.033962819843504,0.6744183478419031,0.7408586138084279,9.100612851370556,14.899387148629447,0.3791922021404398,-0.09444444444444446,0.16666666666666666,2.4279197184143895,0.6956521739130435
neutral,788552,False,False,0.07258064516129031,0.9274193548387097,3.431049337084483e-08,0.9999999656895066,2280960.1142765856,14.64010701504463,0.0,9.25223045152812,2.5147631047665313,2.6025500992628636,8.630456344442516,0.7925867395012419,0.783236061672872,12.761957488799123,11.23804251120091,0.46825177130003726,-0.08333333333333331,0.16666666666666666,-1.9252908618525781,0.43478260869565216
neutral,788553,True,True,0.07258064516129031,0.9274193548387097,0.003547551270063216,0.9964524487299368,21.98227148288836,3.0902362868064728,0.0,1.5381954291561777,3.57493735482778,3.514160902824459,14.372706313191578,0.631119673563923,0.8022667494304432,5.118384217360746,18.881615782639248,0.21326600905669782,0.22222222222222224,0.16666666666666666,7.38198466102225,0.782608695652174
