seed,truth,regret,truth_weight,off_truth_weight,entropy
787155,cue_local_relearning,0.005058705272111173,0.7600927956590658,0.23990720434093415,0.6700480344479434
787156,cue_local_relearning,0.006854250644745245,0.8263680766545732,0.17363192334542676,0.5877309170194187
787157,cue_local_relearning,0.017259715472887294,0.4600024615182822,0.5399975384817177,0.7261917680460538
787158,cue_local_relearning,0.00553085448734425,0.8452038037303305,0.15479619626966945,0.46514746868357537
787159,cue_local_relearning,0.001285921210555152,0.9598334307053912,0.04016656929460882,0.19374298372829218
787160,cue_local_relearning,0.00289774716189406,0.7652594811420065,0.23474051885799352,0.6958781165387907
787161,cue_local_relearning,0.001422610804943325,0.9491804737598257,0.05081952624017427,0.23599900380247701
787162,cue_local_relearning,0.000832775657717851,0.9266179381204572,0.07338206187954277,0.30576670654509785
787163,cue_local_relearning,0.0018572686215735008,0.9214387477136086,0.07856125228639144,0.3240007771870118
787164,cue_local_relearning,0.03259446937396978,0.23298711156572718,0.7670128884342728,0.5954459149194637
787165,cue_local_relearning,0.031257197246313595,0.35166416797126315,0.6483358320287369,1.1308749295160214
787166,cue_local_relearning,0.014933060522490216,0.5383502119396772,0.46164978806032275,0.8366233412684901
787167,cue_local_relearning,-0.008254457490799005,0.5967274271260243,0.40327257287397567,0.8315938994011184
787168,cue_local_relearning,0.004701668195003765,0.4250421405449277,0.5749578594550723,0.8168085357286752
787169,cue_local_relearning,0.002963468112137472,0.747366985543709,0.25263301445629105,0.587542687038935
787170,cue_local_relearning,0.01875543587733297,0.36668129932101506,0.6333187006789849,0.6613099998304774
787171,cue_local_relearning,-0.004048482893560745,0.4937964220641867,0.5062035779358133,0.9527974169600483
787172,cue_local_relearning,0.012065918204820095,0.6269907967585351,0.3730092032414649,0.8712980954217547
