bundle_strength,volatility_sensitivity,initial_depth,initial_capture,final_depth,final_capture,residual,class
0.8,0.4,0.692,0.404,0.9999999265090929,0.074850340965036,3.1822914676327835e-8,self
0.8,0.4,0.692,0.5,0.9999999265090929,0.074850340965036,3.1822914676327835e-8,self
0.8,0.4,0.692,0.596,0.9999999265090929,0.074850340965036,3.1822914676327835e-8,self
0.8,0.4,0.692,0.692,0.9999999262803676,0.07485034102242422,3.192195692629872e-8,self
0.8,0.4,0.692,0.788,0.9999999253316918,0.07485034126045138,3.233275101501335e-8,self
0.8,0.4,0.692,0.884,0.999999923872596,0.07485034162654529,3.296456637705714e-8,self
0.8,0.4,0.692,0.98,0.9999999220825845,0.07485034207566739,3.3739674279536065e-8,self
0.8,0.4,0.788,0.02,0.9999999494153498,0.0748503352177509,2.190408394530972e-8,self
0.8,0.4,0.788,0.116,0.9999999494153498,0.0748503352177509,2.190408394530972e-8,self
0.8,0.4,0.788,0.212,0.9999999494153498,0.0748503352177509,2.190408394530972e-8,self
0.8,0.4,0.788,0.308,0.9999999494153498,0.0748503352177509,2.190408394530972e-8,self
0.8,0.4,0.788,0.404,0.9999999494153498,0.0748503352177509,2.190408394530972e-8,self
0.8,0.4,0.788,0.5,0.9999999494153498,0.0748503352177509,2.190408394530972e-8,self
0.8,0.4,0.788,0.596,0.9999999494153498,0.0748503352177509,2.190408394530972e-8,self
0.8,0.4,0.788,0.692,0.9999999493233664,0.07485033524082996,2.194391441535265e-8,self
0.8,0.4,0.788,0.788,0.9999999485470663,0.07485033543560717,2.228006664401582e-8,self
0.8,0.4,0.788,0.884,0.999999947220497,0.07485033576844959,2.2854495577373308e-8,self
0.8,0.4,0.788,0.98,0.9999999455386683,0.07485033619042805,2.3582758333705424e-8,self
0.8,0.4,0.884,0.02,0.9999999723216064,0.07485032947046641,1.198525342126402e-8,self
0.8,0.4,0.884,0.116,0.9999999723216064,0.07485032947046641,1.198525342126402e-8,self
0.8,0.4,0.884,0.212,0.9999999723216064,0.07485032947046641,1.198525342126402e-8,self
0.8,0.4,0.884,0.308,0.9999999723216064,0.07485032947046641,1.198525342126402e-8,self
0.8,0.4,0.884,0.404,0.9999999723216064,0.07485032947046641,1.198525342126402e-8,self
0.8,0.4,0.884,0.5,0.9999999723216064,0.07485032947046641,1.198525342126402e-8,self
0.8,0.4,0.884,0.596,0.9999999723216064,0.07485032947046641,1.198525342126402e-8,self
0.8,0.4,0.884,0.692,0.9999999722915862,0.07485032947799863,1.19982527324425e-8,self
0.8,0.4,0.884,0.788,0.9999999716604412,0.07485032963635582,1.2271550132050775e-8,self
0.8,0.4,0.884,0.884,0.9999999704327919,0.07485032994437867,1.2803144883112319e-8,self
0.8,0.4,0.884,0.98,0.9999999688384711,0.07485033034440101,1.3493515100448879e-8,self
0.8,0.4,0.98,0.02,0.999999995227863,0.07485032372318257,2.0664230667310573e-9,self
0.8,0.4,0.98,0.116,0.999999995227863,0.07485032372318257,2.0664230667310573e-9,self
0.8,0.4,0.98,0.212,0.999999995227863,0.07485032372318257,2.0664230667310573e-9,self
0.8,0.4,0.98,0.308,0.999999995227863,0.07485032372318257,2.0664230667310573e-9,self
0.8,0.4,0.98,0.404,0.999999995227863,0.07485032372318257,2.0664230667310573e-9,self
0.8,0.4,0.98,0.5,0.999999995227863,0.07485032372318257,2.0664230667310573e-9,self
0.8,0.4,0.98,0.596,0.999999995227863,0.07485032372318257,2.0664230667310573e-9,self
0.8,0.4,0.98,0.692,0.999999995227863,0.07485032372318257,2.0664230667310573e-9,self
0.8,0.4,0.98,0.788,0.9999999947142324,0.07485032385205484,2.2888345636538134e-9,self
0.8,0.4,0.98,0.884,0.9999999935514449,0.07485032414380359,2.792342973250283e-9,self
0.8,0.4,0.98,0.98,0.9999999920090467,0.07485032453079817,3.4602297230705376e-9,self
0.8,0.7,0.02,0.02,0.9999997595155268,0.07530039521307125,1.0416835476449116e-7,self
0.8,0.7,0.02,0.116,0.9999997576151824,0.07530039569251003,1.0499150874148593e-7,self
0.8,0.7,0.02,0.212,0.9999997551149473,0.07530039632329567,1.0607451172822972e-7,self
0.8,0.7,0.02,0.308,0.9999997520102613,0.07530039710657847,1.0741933892714606e-7,self
0.8,0.7,0.02,0.404,0.9999997483113717,0.07530039803977323,1.0902155158128117e-7,self
0.8,0.7,0.02,0.5,0.9999997440066839,0.07530039912580512,1.1088617209389975e-7,self
0.8,0.7,0.02,0.596,0.9999997391271154,0.07530040035687391,1.1299980816366032e-7,self
0.8,0.7,0.02,0.692,0.9999997336478882,0.07530040173923101,1.1537319267949394e-7,self
0.8,0.7,0.02,0.788,0.9999997275803445,0.0753004032700149,1.180014126658769e-7,self
0.8,0.7,0.02,0.884,0.9999997209162199,0.07530040495131038,1.2088804787052017e-7,self
0.8,0.7,0.02,0.98,0.9999997136396933,0.07530040678710928,1.2403995145325752e-7,self
0.8,0.7,0.116,0.02,0.9999997879697281,0.0753003880343471,9.184312033742837e-8,self
0.8,0.7,0.116,0.116,0.9999997869619115,0.07530038828860962,9.227966662392047e-8,self
0.8,0.7,0.116,0.212,0.9999997852979905,0.07530038870840108,9.300041138954126e-8,self
0.8,0.7,0.116,0.308,0.9999997829266407,0.07530038930666999,9.402758628631821e-8,self
0.8,0.7,0.116,0.404,0.9999997798552783,0.07530039008154549,9.535797898297628e-8,self
0.8,0.7,0.116,0.5,0.9999997761344032,0.07530039102028684,9.696971490698785e-8,self
0.8,0.7,0.116,0.596,0.9999997717936976,0.07530039211540557,9.884993685732066e-8,self
0.8,0.7,0.116,0.692,0.9999997668658966,0.07530039335864283,1.009844652907895e-7,self
0.8,0.7,0.116,0.788,0.9999997613722272,0.07530039474464341,1.0336410557790673e-7,self
0.8,0.7,0.116,0.884,0.9999997553157667,0.07530039627263083,1.0598752471465517e-7,self
0.8,0.7,0.116,0.98,0.9999997487076081,0.07530039793980652,1.0884991764561803e-7,self
0.8,0.7,0.212,0.02,0.9999998119778097,0.07530038197733745,8.144376926617603e-8,self
0.8,0.7,0.212,0.116,0.9999998119778097,0.07530038197733745,8.144376926617603e-8,self
0.8,0.7,0.212,0.212,0.9999998116047005,0.07530038207146929,8.160538539215106e-8,self
0.8,0.7,0.212,0.308,0.9999998103814556,0.07530038238008224,8.213524669473928e-8,self
0.8,0.7,0.212,0.404,0.9999998082550534,0.07530038291655325,8.305631999648546e-8,self
0.8,0.7,0.212,0.5,0.9999998053107488,0.07530038365937305,8.433167622094621e-8,self
0.8,0.7,0.212,0.596,0.9999998016413011,0.07530038458513974,8.592113582224239e-8,self
0.8,0.7,0.212,0.692,0.999999797330077,0.07530038567282044,8.778858751854178e-8,self
0.8,0.7,0.212,0.788,0.9999997924277951,0.07530038690961935,8.991206207999389e-8,self
0.8,0.7,0.212,0.884,0.9999997869822863,0.07530038828346927,9.227084106358539e-8,self
0.8,0.7,0.212,0.98,0.9999997810221488,0.07530038978715516,9.485253684809172e-8,self
0.8,0.7,0.308,0.02,0.999999834884066,0.07530037619830822,7.15216854207195e-8,self
0.8,0.7,0.308,0.116,0.999999834884066,0.07530037619830822,7.15216854207195e-8,self
