seed,history_length,matches,posterior_mean_association,posterior_absolute_deviation_from_zero,credible_interval_lower,credible_interval_upper,credible_interval_covers_zero,maximum_untreated_transfer,floor_violation
50223,800,396,0.49501246882793015,0.004987531172069848,0.4599708140933918,0.5297608923902524,1,0.003480922090938865,0
50224,800,417,0.5211970074812967,0.021197007481296715,0.4864971980037855,0.5555156269257379,1,0.014788741493001467,0
50225,800,404,0.5049875311720698,0.004987531172069848,0.4691998860310945,0.5383910209207903,1,0.003480922090938754,0
50226,800,413,0.516209476309227,0.016209476309226978,0.4820361061136773,0.5514941491995855,1,0.011310777547080986,0
50227,800,415,0.5187032418952618,0.018703241895261846,0.4840734553963304,0.5544585882679537,1,0.013049960199435495,0
50228,800,388,0.4850374064837905,0.014962593516209488,0.4507023563136659,0.5193551021865296,1,0.010441052405220419,0
50229,800,392,0.49002493765586036,0.00997506234413964,0.45507197568382296,0.5245278078827822,1,0.006961415667913806,0
50230,800,420,0.5249376558603491,0.02493765586034913,0.49058791296324256,0.5595156766024187,1,0.01739604412747786,0
50231,800,385,0.48129675810473815,0.018703241895261846,0.4469322302258951,0.5155942418326287,1,0.013049960199435495,0
50232,800,408,0.5099750623441397,0.009975062344139696,0.47538090215715567,0.5451539068004361,1,0.006961415667913862,0
50233,800,394,0.4925187032418953,0.007481296758104716,0.4576452144610348,0.5274854966702083,1,0.005221249220646096,0
50234,800,393,0.4912718204488778,0.008728179551122206,0.45777645601409983,0.5247149015336119,1,0.006091355875902371,0
50235,800,379,0.47381546134663344,0.026184538653366562,0.4390987818364309,0.5092682543935103,1,0.018264886528393864,0
50236,800,402,0.5024937655860349,0.0024937655860348684,0.4685040556615366,0.5370117077048908,1,0.0017404878297987425,0
50237,800,417,0.5211970074812967,0.021197007481296715,0.48653168368513117,0.5553632307873668,1,0.014788741493001467,0
50238,800,417,0.5211970074812967,0.021197007481296715,0.4866787257557909,0.5563367170120035,1,0.014788741493001467,0
50239,800,384,0.4800498753117207,0.01995012468827928,0.44646849051681214,0.5135108364776633,1,0.01391940435349992,0
50240,800,394,0.4925187032418953,0.007481296758104716,0.45695171147646385,0.5271849511594395,1,0.005221249220646096,0
50241,800,381,0.4763092269326683,0.023690773067331694,0.4418440088146934,0.5098652647502306,1,0.016527068046465032,0
50242,800,380,0.47506234413965087,0.02493765586034913,0.44137489155119797,0.5093714435957968,1,0.017396044127477972,0
50243,800,391,0.48877805486284287,0.01122194513715713,0.45479860830674146,0.5231101157255873,1,0.007831421905608149,0
50244,800,410,0.5124688279301746,0.012468827930174564,0.47801861781743277,0.5460672842461586,1,0.008701367899383472,0
50245,800,416,0.5199501246882793,0.01995012468827928,0.4842115577826701,0.5550128241291187,1,0.013919404353499809,0
50246,800,420,0.5249376558603491,0.02493765586034913,0.49057735224626015,0.5605069360755836,1,0.01739604412747786,0
50247,800,416,0.5199501246882793,0.01995012468827928,0.4859880997181968,0.5549490757299607,1,0.013919404353499809,0
50248,800,379,0.47381546134663344,0.026184538653366562,0.43951951020040436,0.5071032924609769,1,0.018264886528393864,0
50249,800,397,0.49625935162094764,0.003740648379052358,0.461155488430541,0.5308930876118573,1,0.0026107150043313543,0
50250,800,416,0.5199501246882793,0.01995012468827928,0.48583987477609397,0.5549237016832795,1,0.013919404353499809,0
50251,800,384,0.4800498753117207,0.01995012468827928,0.4448772115021543,0.5146937464187618,1,0.01391940435349992,0
50252,800,419,0.5236907730673317,0.023690773067331694,0.48891356497264404,0.557168882379618,1,0.016527068046465088,0
50253,800,397,0.49625935162094764,0.003740648379052358,0.46129559511501844,0.5319158162724028,1,0.0026107150043313543,0
50254,800,394,0.4925187032418953,0.007481296758104716,0.45831673380908,0.5268536881412933,1,0.005221249220646096,0
50255,800,405,0.5062344139650873,0.006234413965087282,0.4722865236281822,0.5408777434983394,1,0.004351102394504203,0
50000,1600,850,0.531210986267166,0.031210986267166008,0.5066972249259017,0.5548836596762557,0,0.021765882246882362,1
50001,1600,813,0.5081148564294632,0.00811485642946319,0.4840391242420128,0.532140107896881,1,0.005663368779350586,0
50002,1600,825,0.5156054931335831,0.01560549313358306,0.49121779714302427,0.5404477588344522,1,0.010889497915466007,0
50003,1600,809,0.5056179775280899,0.005617977528089901,0.48238535197284343,0.5302359939757779,1,0.003920904663502256,0
50004,1600,824,0.5149812734082397,0.014981273408239737,0.4906253335422106,0.5389877939763581,1,0.010454082604545833,0
50005,1600,818,0.5112359550561798,0.011235955056179803,0.48594471463598143,0.5354456921833183,1,0.007841196926866134,0
50006,1600,802,0.5012484394506866,0.0012484394506866447,0.4764527303478947,0.5260626068508836,1,0.0008713337112327135,0
50007,1600,824,0.5149812734082397,0.014981273408239737,0.49121823657244607,0.5389126807358983,1,0.010454082604545833,0
50008,1600,773,0.48314606741573035,0.01685393258426965,0.45866972258578376,0.5072116815347129,1,0.011760264731297376,0
50009,1600,761,0.4756554307116105,0.024344569288389517,0.45132120616069576,0.5012627294462962,1,0.016982727197262015,0
50010,1600,803,0.50187265917603,0.0018726591760299671,0.47657140072241705,0.5267300907906884,1,0.001306998466428011,0
50011,1600,829,0.5181023720349563,0.01810237203495635,0.4936612995484859,0.5431393846168746,1,0.012630940884588493,0
50012,1600,796,0.4975031210986267,0.0024968789013732895,0.47325828128542524,0.5210745024776363,1,0.0017426607011344353,0
50013,1600,820,0.5124843945068664,0.012484394506866447,0.48809604435623766,0.5364044625102703,1,0.00871222823926332,0
50014,1600,836,0.5224719101123596,0.022471910112359605,0.4974344896726827,0.5467959429553678,1,0.015677496700292837,0
50015,1600,835,0.5218476903870163,0.021847690387016283,0.4972034276246683,0.546413169017082,1,0.015242358350432306,0
50016,1600,771,0.4818976279650437,0.018102372034956293,0.45777859477289473,0.505682472689211,1,0.012630940884588382,0
50017,1600,803,0.50187265917603,0.0018726591760299671,0.4773966107124098,0.5258309653833645,1,0.001306998466428011,0
50018,1600,818,0.5112359550561798,0.011235955056179803,0.4867901881011593,0.5358868873919238,1,0.007841196926866134,0
50019,1600,805,0.5031210986267166,0.003121098626716612,0.4792877873015748,0.5271027864641419,1,0.002178319575215859,0
50020,1600,774,0.4837702871410737,0.016229712858926326,0.4594593823220988,0.5079912931640618,1,0.011324892237147444,0
50021,1600,753,0.4706616729088639,0.029338327091136096,0.44557882542028115,0.49507785783837804,0,0.020461841384498802,1
50022,1600,787,0.4918851435705368,0.00811485642946319,0.4673178759644607,0.5158460708875323,1,0.005663368779350586,0
50023,1600,780,0.4875156054931336,0.012484394506866392,0.46324083621492435,0.5118883619760335,1,0.008712228239263264,0
50024,1600,787,0.4918851435705368,0.00811485642946319,0.4673447906919218,0.5165858212865441,1,0.005663368779350586,0
50025,1600,814,0.5087390761548065,0.008739076154806513,0.4848248310270351,0.5332661108476733,1,0.006098959607411247,0
50026,1600,802,0.5012484394506866,0.0012484394506866447,0.4768271505986616,0.5254610626363825,1,0.0008713337112327135,0
50027,1600,792,0.4950062421972534,0.004993757802746579,0.4703462217218348,0.520051682985494,1,0.003485267632731659,0
50028,1600,795,0.4968789013732834,0.003121098626716612,0.47249662298824324,0.5210101211240463,1,0.002178319575215859,0
50029,1600,769,0.48064918851435706,0.019350811485642938,0.4570305605657814,0.5051871261837617,1,0.013501519672103057,0
50030,1600,841,0.5255930087390761,0.025593008739076106,0.5008454074918559,0.5499366873110672,0,0.017852718707510595,0
50031,1600,825,0.5156054931335831,0.01560549313358306,0.49106807104930883,0.5401708430486616,1,0.010889497915466007,0
50032,1600,773,0.48314606741573035,0.01685393258426965,0.45865867629884044,0.508121492529837,1,0.011760264731297376,0
50033,1600,804,0.5024968789013733,0.0024968789013732895,0.47799729279729514,0.5264724072340616,1,0.0017426607011343798,0
50034,1600,780,0.4875156054931336,0.012484394506866392,0.46282683226253657,0.5122674541897767,1,0.008712228239263264,0
50035,1600,791,0.4943820224719101,0.005617977528089901,0.4695394983056669,0.5195110342406064,1,0.0039209046635022005,0
50036,1600,794,0.49625468164794007,0.0037453183520599342,0.47213383592403885,0.5209485298233141,1,0.002613974248559192,0
50037,1600,819,0.5118601747815231,0.011860174781523125,0.48755316888041567,0.5367619615287229,1,0.008276720561390949,0
