seed,trial,condition,cause,bound_correct,local_correct,inverted_correct,bound_confidence,local_confidence,probability_positive
8501,171,coherent_ambiguous,1,true,true,true,0.5910945567984267,0.2688759926204011,0.7955472783992134
8501,172,coherent_ambiguous,-1,true,true,true,0.20677115177409,0.41279167837373293,0.396614424112955
8501,173,coherent_ambiguous,-1,true,true,true,0.949896620334854,0.6779055481543756,0.025051689832572985
8501,174,coherent_ambiguous,-1,true,true,true,0.34992407229492617,0.217395668266358,0.3250379638525369
8501,175,coherent_ambiguous,1,true,true,true,0.8876120621543819,0.5550106897841461,0.943806031077191
8501,176,coherent_ambiguous,1,true,true,true,0.11102248509121404,0.2801116842224092,0.555511242545607
8501,177,coherent_ambiguous,-1,true,true,true,0.6600620867885625,0.5630235785181216,0.16996895660571876
8501,178,coherent_ambiguous,-1,true,true,true,0.7014521528269396,0.527484704957644,0.1492739235865302
8501,179,coherent_ambiguous,1,true,true,true,0.7398828216258122,0.6176196135527103,0.8699414108129061
8501,180,coherent_ambiguous,1,true,true,true,0.5138613806141183,0.26691719499320415,0.7569306903070592
8501,181,coherent_ambiguous,-1,true,true,true,0.9597923322138293,0.6774040540657388,0.020103833893085368
8501,182,coherent_ambiguous,-1,true,true,true,0.8549881376178228,0.5271122339006274,0.07250593119108859
8501,183,coherent_ambiguous,1,true,true,true,0.7781816328275108,0.44780816792350714,0.8890908164137554
8501,184,coherent_ambiguous,1,true,true,true,0.9297096326472865,0.6056460805001967,0.9648548163236432
8501,185,coherent_ambiguous,-1,true,true,true,0.9536504208690241,0.6620304221904493,0.023174789565487974
8501,186,coherent_ambiguous,-1,true,true,true,0.8424803351165013,0.4775277220256475,0.07875983244174932
8501,187,coherent_ambiguous,1,true,true,true,0.8204059553601617,0.41736235547663086,0.9102029776800808
8501,188,coherent_ambiguous,1,true,true,true,0.552169729274665,0.2517401420191052,0.7760848646373325
8501,189,coherent_ambiguous,1,true,true,true,0.9138256828801581,0.5377260315081759,0.956912841440079
8501,190,coherent_ambiguous,-1,true,true,true,0.6272881759117683,0.2909597344334278,0.1863559120441158
8501,191,coherent_ambiguous,-1,false,false,false,0.8153686178018253,0.4293289349763942,0.9076843089009127
8501,192,coherent_ambiguous,-1,true,true,true,0.452350438521689,0.5054402133715591,0.2738247807391555
8501,193,coherent_ambiguous,1,true,true,true,0.6807382828585258,0.3365759068921435,0.8403691414292629
8501,194,coherent_ambiguous,-1,true,true,true,0.9756184752124877,0.7734786066625414,0.01219076239375617
8501,195,coherent_ambiguous,1,true,true,true,0.7928127212355065,0.3482846977883071,0.8964063606177533
8501,196,coherent_ambiguous,1,true,true,true,0.4221111637084882,0.3245576131405344,0.7110555818542441
8501,197,coherent_ambiguous,1,true,true,true,0.9562790705306417,0.6948093267770674,0.9781395352653208
8501,198,coherent_ambiguous,-1,true,true,true,0.8268738369307513,0.45595074995573937,0.0865630815346243
8501,199,coherent_ambiguous,1,true,true,true,0.9145779736891437,0.5687612266190901,0.9572889868445719
8501,200,coherent_ambiguous,-1,true,true,true,0.802674756878869,0.4223284782104814,0.09866262156056547
8501,201,coherent_ambiguous,-1,true,true,true,0.5788071965342385,0.3557468559940001,0.21059640173288074
