seed,dose,closed_exposure,open_exposure,exposure_effect,closed_revision,open_revision,revision_effect,avoidance_mediator
701243,0.5,11,24,-13,0.13275094869300605,0.01276821130392785,0.11998273738907819,0.5
701243,1.0,19,24,-5,0.7632288715216887,0.01276821130392785,0.7504606602177609,0.0
701244,0.0,0,24,-24,0.0,0.09203573095617401,-0.09203573095617401,1.0
701244,0.5,10,24,-14,0.37288393476626286,0.09203573095617401,0.28084820381008885,0.5
701244,1.0,20,24,-4,0.9518349505513631,0.09203573095617401,0.8597992195951891,0.0
701245,0.0,0,24,-24,0.0,0.01857986419482114,-0.01857986419482114,1.0
701245,0.5,11,24,-13,0.10901560925321163,0.01857986419482114,0.0904357450583905,0.5
701245,1.0,21,24,-3,0.8460470494762824,0.01857986419482114,0.8274671852814612,0.0
701246,0.0,0,24,-24,0.0,0.03434583029015246,-0.03434583029015246,1.0
701246,0.5,11,24,-13,0.23608082572908828,0.03434583029015246,0.20173499543893583,0.5
701246,1.0,20,24,-4,0.9017264563345648,0.03434583029015246,0.8673806260444124,0.0
701247,0.0,0,24,-24,0.0,0.03478499922988484,-0.03478499922988484,1.0
701247,0.5,10,24,-14,0.28523210835908447,0.03478499922988484,0.25044710912919965,0.5
701247,1.0,18,24,-6,0.8879302104458346,0.03478499922988484,0.8531452112159498,0.0
701248,0.0,0,24,-24,0.0,0.5037589296521068,-0.5037589296521068,1.0
701248,0.5,10,24,-14,0.7387243936089611,0.5037589296521068,0.23496546395685436,0.5
701248,1.0,21,24,-3,0.8545840315808475,0.5037589296521068,0.3508251019287407,0.0
701249,0.0,0,24,-24,0.0,0.5270972393845315,-0.5270972393845315,1.0
701249,0.5,11,24,-13,0.6730840281673529,0.5270972393845315,0.14598678878282145,0.5
701249,1.0,21,24,-3,0.7081887682779306,0.5270972393845315,0.1810915288933992,0.0
701250,0.0,0,24,-24,0.0,0.00021010488473494223,-0.00021010488473494223,1.0
701250,0.5,11,24,-13,0.0010162741883399124,0.00021010488473494223,0.0008061693036049702,0.5
701250,1.0,22,24,-2,0.06324452673078387,0.00021010488473494223,0.06303442184604893,0.0
701251,0.0,0,24,-24,0.0,0.033266925528632724,-0.033266925528632724,1.0
701251,0.5,8,24,-16,0.26400130123386595,0.033266925528632724,0.23073437570523322,0.5
701251,1.0,16,24,-8,0.873177915024686,0.033266925528632724,0.8399109894960533,0.0
701252,0.0,0,24,-24,0.0,0.04850162326493727,-0.04850162326493727,1.0
701252,0.5,10,24,-14,0.23111442351735098,0.04850162326493727,0.18261280025241372,0.5
701252,1.0,20,24,-4,0.9262412444296102,0.04850162326493727,0.877739621164673,0.0
701253,0.0,0,24,-24,0.0,0.12084062738036674,-0.12084062738036674,1.0
701253,0.5,9,24,-15,0.3527639085996879,0.12084062738036674,0.23192328121932118,0.5
701253,1.0,20,24,-4,0.9558083721921679,0.12084062738036674,0.8349677448118011,0.0
701254,0.0,0,24,-24,0.0,0.1239128421532017,-0.1239128421532017,1.0
701254,0.5,10,24,-14,0.5252910675075435,0.1239128421532017,0.4013782253543418,0.5
701254,1.0,19,24,-5,0.9473123319201269,0.1239128421532017,0.8233994897669252,0.0
701255,0.0,0,24,-24,0.0,0.3348907372409509,-0.3348907372409509,1.0
701255,0.5,11,24,-13,0.737155772648036,0.3348907372409509,0.4022650354070851,0.5
701255,1.0,21,24,-3,0.9390309790446182,0.3348907372409509,0.6041402418036672,0.0
701256,0.0,0,24,-24,0.0,0.1916537031669682,-0.1916537031669682,1.0
701256,0.5,11,24,-13,0.4615092906879553,0.1916537031669682,0.26985558752098715,0.5
701256,1.0,23,24,-1,0.9749148273438552,0.1916537031669682,0.783261124176887,0.0
701257,0.0,0,24,-24,0.0,0.010897415175499001,-0.010897415175499001,1.0
701257,0.5,12,24,-12,0.09473082407814856,0.010897415175499001,0.08383340890264956,0.5
701257,1.0,21,24,-3,0.763058302027136,0.010897415175499001,0.752160886851637,0.0
701258,0.0,0,24,-24,0.0,0.1194743616660434,-0.1194743616660434,1.0
701258,0.5,10,24,-14,0.44179154101283247,0.1194743616660434,0.32231717934678905,0.5
701258,1.0,20,24,-4,0.9557244277985408,0.1194743616660434,0.8362500661324974,0.0
701259,0.0,0,24,-24,0.0,0.05327644259121837,-0.05327644259121837,1.0
701259,0.5,11,24,-13,0.2663959147204801,0.05327644259121837,0.2131194721292617,0.5
701259,1.0,21,24,-3,0.9378439551046703,0.05327644259121837,0.884567512513452,0.0
701260,0.0,0,24,-24,0.0,0.060115008854462235,-0.060115008854462235,1.0
701260,0.5,11,24,-13,0.35652974901165385,0.060115008854462235,0.2964147401571916,0.5
701260,1.0,20,24,-4,0.9374835148673337,0.060115008854462235,0.8773685060128715,0.0
701261,0.0,0,24,-24,0.0,0.0020528018452131893,-0.0020528018452131893,1.0
701261,0.5,8,24,-16,0.0055041721621406515,0.0020528018452131893,0.003451370316927462,0.5
701261,1.0,20,24,-4,0.35700980775632934,0.0020528018452131893,0.3549570059111162,0.0
701262,0.0,0,24,-24,0.0,0.0012899226495311457,-0.0012899226495311457,1.0
701262,0.5,11,24,-13,0.008279987374040919,0.0012899226495311457,0.006990064724509773,0.5
701262,1.0,21,24,-3,0.2747663030547297,0.0012899226495311457,0.27347638040519856,0.0
701263,0.0,0,24,-24,0.0,0.13493758672285866,-0.13493758672285866,1.0
701263,0.5,11,24,-13,0.42847457132700917,0.13493758672285866,0.2935369846041505,0.5
701263,1.0,22,24,-2,0.9690340238533128,0.13493758672285866,0.8340964371304542,0.0
701264,0.0,0,24,-24,0.0,0.33154262922030375,-0.33154262922030375,1.0
701264,0.5,11,24,-13,0.7351054405299738,0.33154262922030375,0.4035628113096701,0.5
701264,1.0,21,24,-3,0.9398571429971331,0.33154262922030375,0.6083145137768293,0.0
701265,0.0,0,24,-24,0.0,0.0018101794987797457,-0.0018101794987797457,1.0
701265,0.5,8,24,-16,0.009093987256582697,0.0018101794987797457,0.007283807757802952,0.5
701265,1.0,18,24,-6,0.300849801772107,0.0018101794987797457,0.29903962227332725,0.0
701266,0.0,0,24,-24,0.0,0.22713432232273228,-0.22713432232273228,1.0
701266,0.5,11,24,-13,0.5139322397058016,0.22713432232273228,0.2867979173830693,0.5
701266,1.0,23,24,-1,0.9738194762995075,0.22713432232273228,0.7466851539767752,0.0
701267,0.0,0,24,-24,0.0,0.4640849067856676,-0.4640849067856676,1.0
701267,0.5,10,24,-14,0.7305010227915735,0.4640849067856676,0.26641611600590587,0.5
701267,1.0,20,24,-4,0.8248906858819084,0.4640849067856676,0.3608057790962408,0.0
701268,0.0,0,24,-24,0.0,0.049544677443577656,-0.049544677443577656,1.0
