seed,truth,selected,truth_probability,posterior,maximum_update_identity_error,maximum_decomposition_error
770057,global_downweight,cue_local_relearning,0.09239042124270178,"[0.09239042124270178, 0.8086456116994925, 0.03073911158636804, 0.0682244442093596, 4.1126207847125447e-07]",2.886579864025407e-15,1.4210854715202004e-14
770058,global_downweight,global_downweight,0.6775116473077597,"[0.6775116473077597, 0.12495959204123994, 2.4637627531014424e-09, 0.19752875818601068, 1.2269089962684783e-12]",4.440892098500626e-15,2.842170943040401e-14
770059,global_downweight,global_downweight,0.6467384627150929,"[0.6467384627150929, 0.10099394783848563, 0.00016349848985013193, 0.25210393725490565, 1.537016655327399e-07]",2.6645352591003757e-15,1.4210854715202004e-14
770060,global_downweight,global_downweight,0.4680693400468597,"[0.4680693400468597, 0.130010356983834, 0.2941658614698034, 0.1034771970081004, 0.004277244491402591]",1.3322676295501878e-15,1.4210854715202004e-14
770061,global_downweight,cue_local_relearning,0.04564736746408562,"[0.04564736746408562, 0.7445425631549961, 4.423227698684287e-08, 0.20981000850021325, 1.6648428029578766e-08]",3.3306690738754696e-15,1.4210854715202004e-14
770062,global_downweight,global_downweight,0.4466502888056077,"[0.4466502888056077, 0.27975308516012753, 5.529157476532684e-06, 0.2735381689923025, 5.292788448578301e-05]",2.6645352591003757e-15,1.4210854715202004e-14
770063,global_downweight,global_downweight,0.4719292160459197,"[0.4719292160459197, 0.449272042010378, 7.576719301268452e-05, 0.07872296386021137, 1.0890478126213491e-08]",4.440892098500626e-15,1.4210854715202004e-14
770064,global_downweight,global_downweight,0.5353948255946477,"[0.5353948255946477, 0.12573346570028981, 2.0444490727267305e-06, 0.3388696642541868, 1.802919798227756e-12]",4.440892098500626e-15,1.4210854715202004e-14
770065,global_downweight,global_downweight,0.578670969078208,"[0.578670969078208, 0.3374936644553148, 0.0004845397264556406, 0.08299114998510905, 0.00035967675491260694]",1.7763568394002505e-15,7.105427357601002e-15
770066,global_downweight,global_downweight,0.6995569955553104,"[0.6995569955553104, 0.13514602828182326, 6.799904057922748e-10, 0.16529697542740043, 5.547551799602494e-11]",4.884981308350689e-15,1.4210854715202004e-14
770067,global_downweight,continuous_drift,0.040367804914464435,"[0.040367804914464435, 0.3237558733920046, 0.030320673087743694, 0.6055556189563238, 2.9649463422195236e-08]",4.884981308350689e-15,1.4210854715202004e-14
770068,global_downweight,global_downweight,0.4611994201855137,"[0.4611994201855137, 0.3769478808351897, 1.0399185986258432e-05, 0.1618419427932339, 3.570000765174627e-07]",3.3306690738754696e-15,1.4210854715202004e-14
770069,global_downweight,global_downweight,0.3655575464347286,"[0.3655575464347286, 0.3530634843104794, 0.010575349296908627, 0.27080163607096264, 1.983886920767695e-06]",3.1086244689504383e-15,1.4210854715202004e-14
770070,global_downweight,global_downweight,0.6455133533247288,"[0.6455133533247288, 0.14009177620023078, 0.02560812739174054, 0.1884961012491915, 0.00029064183410836626]",1.3322676295501878e-15,2.842170943040401e-14
770071,global_downweight,global_downweight,0.4949764695176506,"[0.4949764695176506, 0.38589103889007076, 0.002651898701390067, 0.11632839084193511, 0.00015220204895365457]",1.7763568394002505e-15,2.1316282072803006e-14
770072,global_downweight,global_downweight,0.5307825449525447,"[0.5307825449525447, 0.22851911812388537, 0.009661545445343428, 0.18776330858448564, 0.043273482893740944]",1.3322676295501878e-15,1.4210854715202004e-14
770073,global_downweight,continuous_drift,0.43372339715663427,"[0.43372339715663427, 0.08180858562801738, 1.9272145688239e-05, 0.48444874506959296, 6.715738768905532e-14]",5.773159728050814e-15,1.4210854715202004e-14
770074,global_downweight,cue_local_relearning,0.10472590965648358,"[0.10472590965648358, 0.6676123359692157, 3.764030360562497e-07, 0.22766137693129668, 1.0399678075760643e-09]",4.884981308350689e-15,1.4210854715202004e-14
770075,global_downweight,continuous_drift,0.2902301911914581,"[0.2902301911914581, 0.015915650773634722, 2.783871442752906e-07, 0.693853879637619, 1.0143950482511202e-11]",3.9968028886505635e-15,1.4210854715202004e-14
770076,global_downweight,global_downweight,0.7594040558336949,"[0.7594040558336949, 0.1593263795560014, 0.001102990677587313, 0.08016657392946515, 3.2514293871801005e-12]",5.329070518200751e-15,1.4210854715202004e-14
770077,global_downweight,cue_local_relearning,0.15871158744809186,"[0.15871158744809186, 0.738616118779909, 0.017154817223421177, 0.07190914937911039, 0.013608327169467685]",1.3322676295501878e-15,1.4210854715202004e-14
770078,global_downweight,cue_local_relearning,0.4321142151024002,"[0.4321142151024002, 0.4670225759056541, 9.913127999517045e-06, 0.10085329565872789, 2.0521819391039542e-10]",3.552713678800501e-15,1.4210854715202004e-14
770079,global_downweight,global_downweight,0.587794353047627,"[0.587794353047627, 0.2764940420818819, 0.011534849587402309, 0.12417675524688455, 3.620425236069328e-11]",6.217248937900877e-15,7.105427357601002e-15
770080,global_downweight,change_point,0.1397096134464997,"[0.1397096134464997, 0.1271411910885348, 0.2882327956989075, 0.032394853125153195, 0.41252154664090485]",1.1102230246251565e-15,7.105427357601002e-15
770081,global_downweight,continuous_drift,0.38028642294471454,"[0.38028642294471454, 0.05693534385224834, 2.2877092222373316e-08, 0.562778116089346, 9.423659885253466e-08]",3.552713678800501e-15,1.4210854715202004e-14
770082,global_downweight,global_downweight,0.709470537134749,"[0.709470537134749, 0.17523577602402854, 8.668214400840363e-06, 0.11528500980053381, 8.82628795142603e-09]",4.773959005888173e-15,1.4210854715202004e-14
770083,global_downweight,cue_local_relearning,0.2851637497707512,"[0.2851637497707512, 0.5586845656439252, 0.03309846888557862, 0.12304966524047195, 3.5504592730618322e-06]",1.7763568394002505e-15,1.4210854715202004e-14
770084,global_downweight,cue_local_relearning,0.301819009538372,"[0.301819009538372, 0.5976106054441489, 0.009470848223832448, 0.09034161314501316, 0.0007579236486334579]",1.7763568394002505e-15,1.4210854715202004e-14
770085,global_downweight,global_downweight,0.5017271649745388,"[0.5017271649745388, 0.42882808915696197, 3.8579134685646475e-06, 0.06944088321339957, 4.741630984237213e-09]",4.884981308350689e-15,1.4210854715202004e-14
