seed,truth,predicted,T_probability,D_probability,P_probability
750254,P,P,3.624876355583506e-09,4.9067353885926736e-11,0.9999999963260563
750255,T,T,0.9578473175932499,0.04215268236717406,3.9575997232483586e-11
750256,D,D,0.0026636600858786393,0.9973310131470001,5.3267671211950954e-06
750257,P,P,3.283504571922304e-10,1.807940442016576e-11,0.9999999996535701
750258,T,T,0.8328179642789693,0.16718203570343262,1.759819703109504e-11
750259,D,D,0.0012916454513877673,0.9987083545482885,3.2372053903287353e-13
750260,P,P,2.1707493873148802e-10,1.2477322784252647e-12,0.9999999997816773
750261,T,T,0.8636251921501619,0.13637480771864002,1.3119817402419158e-10
750262,D,D,2.7748490828725494e-06,0.9999972249091575,2.41759568853142e-10
750263,P,P,2.4719648965709413e-07,3.309769431204832e-09,0.9999997494937409
750264,T,T,0.9606233544090239,0.03937663986160619,5.729369763698494e-09
750265,D,D,1.2438606728796584e-07,0.9999998756129249,1.0077469598886117e-12
750266,P,P,1.3119871097973246e-13,1.0279867489448725e-15,0.9999999999998679
750267,T,T,0.8258157081254707,0.1741842918744797,4.955912221672819e-14
750268,D,D,0.13279539500949256,0.8671867432516387,1.7861738868772593e-05
750269,P,P,7.362381221498469e-09,2.8600981791921378e-11,0.9999999926090177
750270,T,T,0.9893619017106283,0.010638097426700424,8.626712803400196e-10
750271,D,D,1.6502631250651978e-07,0.9999998349018229,7.186470558822978e-11
750272,P,P,0.0005842053789147373,2.2986206271485326e-06,0.9994134960004581
750273,T,T,0.9702235108141107,0.02977648914468452,4.1204846367216483e-11
750274,D,D,0.0009372044351923001,0.9990627951234041,4.414034871140483e-10
750275,P,P,1.734275390161618e-13,9.143698272651154e-15,0.9999999999998174
750276,T,T,0.9718219905491328,0.028178009256374124,1.9449304675461036e-10
750277,D,D,0.000547273087823453,0.9994527269115594,6.171418563977063e-13
750278,P,P,2.347029122223192e-10,1.563933288985153e-13,0.9999999997651406
750279,T,T,0.9261634795152194,0.07383652048295367,1.8269357707484474e-12
750280,D,D,0.04199759118454105,0.9580023787606047,3.005485437889338e-08
750281,P,P,3.155525377999285e-08,1.93629381591556e-10,0.9999999682511168
750282,T,T,0.9204412721330666,0.07955872744403153,4.229018452382029e-10
750283,D,D,1.1368030712414035e-07,0.9999998863133083,6.384655872440556e-12
750284,P,P,8.589856099472515e-12,3.6146210248166115e-14,0.999999999991374
750285,T,T,0.9931430695071893,0.00685099011667546,5.940376135271474e-06
750286,D,D,2.8163393599065537e-07,0.9999997183660514,1.2443516131278661e-14
750287,P,P,4.265727941299364e-10,2.1240079514372812e-12,0.9999999995713033
750288,T,T,0.5903107488237049,0.4096892511664365,9.858652086281463e-12
750289,D,D,0.0001807239747195566,0.9998192709579032,5.0673772349809746e-09
750290,P,P,2.5772702283105607e-09,1.9214956033192663e-11,0.9999999974035149
750291,T,T,0.6919938039183114,0.3080061942575918,1.8240965868466308e-09
750292,D,D,0.004472837896360099,0.9955271591136997,2.9899402384103656e-09
750293,P,P,8.08937825413741e-12,2.6768327275732837e-13,0.999999999991643
750294,T,T,0.8571549855241868,0.14284501444955652,2.6256738343082173e-11
750295,D,D,3.3559269907379243e-06,0.9999966440714596,1.549698347471025e-12
750296,P,P,8.462152969551222e-07,1.2245414596750459e-08,0.9999991415392884
