seed,length,acute_count,acute_widths,control_level,action_dependence,low_control_fraction,chronic_profile,scheduled_dose,available_formation_margin,available_formed,available_final_persistent_probability,available_max_step_change,available_realized_avoidance_mediator,available_avoidance_rate,available_realized_event_fraction,replay_formation_margin,replay_formed,replay_final_persistent_probability,replay_max_step_change,replay_realized_avoidance_mediator,replay_avoidance_rate,replay_realized_event_fraction
809361,120,1,2,3,0.5,0.5,none,0.016666666666666666,0.7191917860988835,0,0.7757532899499959,0.05931577209931049,0.058333333333333334,0.11666666666666667,0.016666666666666666,0.5114833540068828,0,0.7732284900773165,0.05931577209931049,0.0,0.0,0.016666666666666666
809362,120,1,2,3,0.5,0.5,steady-low,0.1,0.8759491035118316,0,0.8050898385302345,0.06114001246704415,0.08333333333333333,0.225,0.08333333333333333,0.06326516944126226,0,0.7821698436091077,0.05617461011434244,0.0,0.0,0.1
809363,120,1,2,3,0.5,0.5,steady-low,0.1,0.2741929105505283,0,0.7387402551036278,0.060734442363242325,0.075,0.2916666666666667,0.09166666666666666,-0.09948338016673475,0,0.7185846727542374,0.05527579278553829,0.0,0.0,0.1
809364,90,1,3,3,0.5,0.5,steady-low,0.1111111111111111,-0.3044553864727746,0,0.8096821345976315,0.05801699698922819,0.07777777777777778,0.36666666666666664,0.1,-0.5087313758133689,0,0.8084993147254178,0.052357424206365244,0.0,0.0,0.1111111111111111
809365,60,1,2,4,0.75,0.25,none,0.03333333333333333,-0.9154358949788794,0,0.5872779583289733,0.06462710285629636,0.016666666666666666,0.05,0.03333333333333333,-0.9151649093913214,0,0.587904994332103,0.0633122209952024,0.0,0.0,0.03333333333333333
809366,90,1,2,4,0.75,0.25,bursty-moderate,0.2,-1.948712589299175,0,0.6274443443179076,0.060076001474643315,0.05555555555555555,0.2111111111111111,0.15555555555555556,-3.2630375953722437,0,0.4711744371802836,0.05792008470900667,0.0,0.0,0.2
809367,60,1,2,4,0.75,0.25,none,0.03333333333333333,-0.11875653631583871,0,0.7041068798679495,0.06016134607577994,0.05,0.11666666666666667,0.03333333333333333,-0.1378710405442054,0,0.6981636753988706,0.05739494196807948,0.0,0.0,0.03333333333333333
809368,90,1,1,4,0.75,0.25,none,0.011111111111111112,0.09614635805828908,0,0.7275061950356805,0.04158659980811996,0.03333333333333333,0.2,0.011111111111111112,0.9925902018452717,0,0.8439057666552408,0.04158659980811996,0.0,0.0,0.011111111111111112
809369,60,1,2,4,0.75,0.25,steady-low,0.11666666666666667,0.5869075367874086,0,0.7741862405866027,0.04754894932842546,0.11666666666666667,0.4166666666666667,0.08333333333333333,0.12385753849194336,0,0.7034265507667087,0.04210492795833232,0.0,0.0,0.11666666666666667
809370,90,1,1,4,0.75,0.25,none,0.011111111111111112,1.0540448028039275,1,0.8582342425667147,0.05997167623561328,0.022222222222222223,0.17777777777777778,0.011111111111111112,0.5481763336368688,0,0.79116819615871,0.05997167623561328,0.0,0.0,0.011111111111111112
