seed,regulation,evidence_present,root_change,uptake
704237,false,true,0.002823630066262568,0.45
704237,true,false,0.0,1.4268569375526927
704237,true,true,0.7146870586829792,1.4351482261990935
704238,false,false,0.0,0.45
704238,false,true,0.009780687604643961,0.45
704238,true,false,0.0,1.4613094544211642
704238,true,true,0.7366902504545748,1.4939437966044822
704239,false,false,0.0,0.45
704239,false,true,0.5011640166601252,0.45
704239,true,false,0.0,1.4644899684693489
704239,true,true,0.9137213796432688,1.3726812729969369
704240,false,false,0.0,0.45
704240,false,true,0.009848816744532411,0.45
704240,true,false,0.0,1.4635626798038857
704240,true,true,0.7240254754009722,1.4805118491949387
704241,false,false,0.0,0.45
704241,false,true,0.06840045513646809,0.45
704241,true,false,0.0,1.3751231941541555
704241,true,true,0.9918781985868302,1.4693055369117642
704242,false,false,0.0,0.45
704242,false,true,0.0076056218347466545,0.45
704242,true,false,0.0,1.4331897583000925
704242,true,true,0.743159326084242,1.4151941950271625
704243,false,false,0.0,0.45
704243,false,true,0.10437021287343086,0.45
704243,true,false,0.0,1.4550915602102337
704243,true,true,0.9683289168903776,1.402532510241405
704244,false,false,0.0,0.45
704244,false,true,0.28677989306928153,0.45
704244,true,false,0.0,1.3987856965851178
704244,true,true,0.8513617924320651,1.372659444155515
704245,false,false,0.0,0.45
704245,false,true,0.00016785167166395476,0.45
704245,true,false,0.0,1.4400729643149748
704245,true,true,0.03088715731440522,1.4182425339245075
704246,false,false,0.0,0.45
704246,false,true,0.005576173673606587,0.45
704246,true,false,0.0,1.5074257323798674
704246,true,true,0.7877484307302757,1.3928361042589592
704247,false,false,0.0,0.45
704247,false,true,0.08640351534335342,0.45
704247,true,false,0.0,1.399344818072475
704247,true,true,0.9858429823460702,1.4648032108149112
704248,false,false,0.0,0.45
704248,false,true,0.5889802797106164,0.45
704248,true,false,0.0,1.413214053724054
704248,true,true,0.9623753821504485,1.478303392485613
704249,false,false,0.0,0.45
704249,false,true,0.044864862730061426,0.45
704249,true,false,0.0,1.476080922388174
704249,true,true,0.9284926239975128,1.370808853962886
704250,false,false,0.0,0.45
704250,false,true,0.2013657349989065,0.45
704250,true,false,0.0,1.4354448694102104
704250,true,true,0.9896330287674084,1.4596239344579287
704251,false,false,0.0,0.45
704251,false,true,0.0073636226938918106,0.45
704251,true,false,0.0,1.4293307301372966
704251,true,true,0.40718801281779876,1.4133839735471172
