seed,model,posterior_mode,episode_kind,episode_index,t,p_s1,p_s2,p_s3,p_s4,p_phi1,p_phi2,p_phi3,p_phi4
11,BLTGlobal,filtered,probe,1,151,0.0011643482535640664,0.001163892707826632,0.9959840512013438,0.0016877078372655408,0.5856235405994465,0.02991938138486265,0.3543557015126573,0.030101376503033447
11,BLTGlobal,filtered,probe,1,152,0.007953133557270328,0.8617022956447832,0.12213834546409863,0.008206225333847659,0.6604379331148691,0.03342165027110772,0.24216125120896084,0.0639791654050622
11,BLTGlobal,filtered,probe,1,153,0.020625981403670612,0.14770714613331581,0.7199193804692473,0.11174749199376637,0.14517457079751594,0.04646892791898598,0.560990653847241,0.2473658474362572
11,BLTGlobal,filtered,probe,1,154,0.030955437714655965,0.07597577751332549,0.5973183779049701,0.2957504068670485,0.09388434488471248,0.10877991889933676,0.34046471634139985,0.456871019874551
11,BLTGlobal,filtered,probe,1,155,0.015090597753934117,0.024548336579723613,0.09655045133225273,0.8638106143340895,0.25133580573173353,0.05797520372966946,0.4630414267521123,0.2276475637864847
11,BLTGlobal,filtered,probe,1,156,0.035466411419265806,0.014921203606303116,0.03630032394290182,0.9133120610315294,0.07514032956260681,0.017713046054577415,0.7485565750919989,0.15859004929081694
11,BLTGlobal,filtered,probe,1,157,0.2754943970712779,0.029562264944418635,0.04852839190643114,0.6464149460778723,0.07186383830692565,0.1267518872843958,0.4632882962833777,0.33809597812530084
11,BLTGlobal,filtered,probe,1,158,0.07062491875586008,0.029088335181966386,0.1711709197050512,0.7291158263571225,0.03792871416450249,0.3645377926053108,0.1741039743983844,0.42342951883180246
11,BLTGlobal,filtered,probe,1,159,0.2779052317716013,0.05103104820401887,0.32486486149764543,0.3461988585267344,0.011520608136268009,0.18201848548650013,0.18380049385630137,0.6226604125209305
11,BLTGlobal,filtered,probe,1,160,0.31274077576673104,0.05437347291320578,0.43019026511508157,0.20269548620498146,0.012368053372470239,0.10612784755015153,0.17293828122407948,0.7085658178532986
11,BLTGlobal,filtered,probe,1,161,0.06887779079882142,0.025013629653625236,0.8452576809706401,0.06085089857691325,0.09161170063898005,0.10096169553709637,0.3530966061572215,0.4543299976667021
11,BLTGlobal,filtered,probe,1,162,0.011687170249803891,0.0069166359642911495,0.9702818255208363,0.011114368265068595,0.2730423290399486,0.1274791915769313,0.40769735641262966,0.19178112297049044
11,BLTGlobal,filtered,probe,1,163,0.0024584356863143406,0.0020803813884569347,0.9930437300324091,0.002417452892819841,0.4978253938719938,0.11173461122468792,0.32257069302445923,0.06786930187885933
11,BLTGlobal,filtered,probe,1,164,0.0008410452208197487,0.0008171439554166078,0.9975033084648984,0.0008385023588651447,0.6930756812502783,0.07911841656533249,0.20417312006404045,0.023632782120348566
11,BLTGlobal,filtered,probe,1,165,0.0043047604674474795,0.03956074940301869,0.9518311177508373,0.004303372378696549,0.3246139498950939,0.03570111670377616,0.5824370173828894,0.057247916018240565
11,BLTGlobal,filtered,probe,1,166,0.004332270442852632,0.006097466783948984,0.9710721619433634,0.018498100829834906,0.08248922683909292,0.011117739969206925,0.8528362391810425,0.05355679401065773
11,BLTGlobal,filtered,probe,1,167,0.0015323095208272619,0.0016184503773913755,0.9949718720503058,0.001877368051475509,0.19285227521123832,0.0226724799576745,0.7566458110537124,0.027829433777374804
