seed,arm,contact_descent,root_change,p1_permission_episode,p2_permission_episode,conjunction_episode,root_revision_episode,both_permissions_before_root,p1_final_permission,p2_final_permission,p1_probe_strengthening,p2_probe_strengthening,p1_opposed_effect,p2_opposed_effect,escalation_coupled
710145,befriend_one,false,0.0,14,0,0,0,false,0.9305572067464574,0.015573782950924906,,,,,
710145,befriend_none,false,0.0,0,0,0,0,false,0.015573782950924906,0.015573782950924906,,,,,
710145,escalation_probe,,,,,,,,,,0.6667054163546728,-0.0132894975988751,0.0,0.0,false
710146,befriend_both,false,0.0,0,0,0,0,false,0.03864139320231371,0.03864139320231371,,,,,
710146,befriend_one,false,0.0,21,0,0,0,false,0.9255274505066698,0.015522578049130526,,,,,
710146,befriend_none,false,0.0,0,0,0,0,false,0.015522578049130526,0.015522578049130526,,,,,
710146,escalation_probe,,,,,,,,,,0.006490612763086934,0.29601459069631997,0.0,0.0,false
710147,befriend_both,false,0.0,0,0,0,0,false,0.03182925426021478,0.03182925426021478,,,,,
710147,befriend_one,false,0.0,24,0,0,0,false,0.8707667656457015,0.01552932326849048,,,,,
710147,befriend_none,false,0.0,0,0,0,0,false,0.01552932326849048,0.01552932326849048,,,,,
710147,escalation_probe,,,,,,,,,,0.13409500145855535,0.06425070801474675,0.0,0.0,false
710148,befriend_both,false,0.03906453347256603,16,16,16,0,false,0.8355058166847853,0.8355058166847853,,,,,
710148,befriend_one,false,0.0,11,0,0,0,false,0.9308511166698817,0.015885984066209925,,,,,
710148,befriend_none,false,0.0,0,0,0,0,false,0.015885984066209925,0.015885984066209925,,,,,
710148,escalation_probe,,,,,,,,,,0.13885464732154484,0.028760919352470382,0.0,0.0,false
710149,befriend_both,false,0.07139596294533951,20,20,20,0,false,0.8885112224728913,0.8885112224728913,,,,,
710149,befriend_one,false,0.0,14,0,0,0,false,0.9308545223748266,0.01555321033034214,,,,,
710149,befriend_none,false,0.0,0,0,0,0,false,0.01555321033034214,0.01555321033034214,,,,,
710149,escalation_probe,,,,,,,,,,0.6093531459223303,0.12179320159691964,0.0,0.0,false
710150,befriend_both,false,0.0,0,0,0,0,false,0.02001490239954653,0.02001490239954653,,,,,
710150,befriend_one,false,0.0,0,0,0,0,false,0.3533897151977533,0.01552460453126373,,,,,
710150,befriend_none,false,0.0,0,0,0,0,false,0.01552460453126373,0.01552460453126373,,,,,
710150,escalation_probe,,,,,,,,,,-0.07212131695238277,-0.1131553187793059,0.0,0.0,false
710151,befriend_both,false,0.0,0,0,0,0,false,0.08761129692689706,0.08761129692689706,,,,,
710151,befriend_one,false,0.0,13,0,0,0,false,0.9052126544131708,0.015525403793889152,,,,,
710151,befriend_none,false,0.0,0,0,0,0,false,0.015525403793889152,0.015525403793889152,,,,,
710151,escalation_probe,,,,,,,,,,0.013355742872516396,0.032766654637553794,0.0,0.0,false
710152,befriend_both,false,0.12764871622663249,19,19,19,0,false,0.8550491670825916,0.8550491670825916,,,,,
710152,befriend_one,false,0.0,9,0,0,0,false,0.9308544430254674,0.015566874175058342,,,,,
710152,befriend_none,false,0.0,0,0,0,0,false,0.015566874175058342,0.015566874175058342,,,,,
710152,escalation_probe,,,,,,,,,,0.1014087897948397,-0.0418650232849882,0.0,0.0,false
710153,befriend_both,false,0.002969264581817373,17,17,17,0,false,0.9255484244187107,0.9255484244187107,,,,,
710153,befriend_one,false,0.0,10,0,0,0,false,0.9308614661909635,0.015563924666909574,,,,,
710153,befriend_none,false,0.0,0,0,0,0,false,0.015563924666909574,0.015563924666909574,,,,,
710153,escalation_probe,,,,,,,,,,0.1462297099947122,0.06122307112853209,0.0,0.0,false
710154,befriend_both,false,3.6093434486125865e-5,20,20,20,0,false,0.8753412654042706,0.8753412654042706,,,,,
710154,befriend_one,false,0.0,13,0,0,0,false,0.9308527035570471,0.015528742350787581,,,,,
710154,befriend_none,false,0.0,0,0,0,0,false,0.015528742350787581,0.015528742350787581,,,,,
710154,escalation_probe,,,,,,,,,,-0.004326975974114244,0.06915354963134579,0.0,0.0,false
710155,befriend_both,false,0.002093561043924769,24,24,24,0,false,0.7120331849312588,0.7120331849312588,,,,,
710155,befriend_one,false,0.0,14,0,0,0,false,0.9308468130048335,0.015520426812425912,,,,,
710155,befriend_none,false,0.0,0,0,0,0,false,0.015520426812425912,0.015520426812425912,,,,,
710155,escalation_probe,,,,,,,,,,0.11326164825850782,-0.011029414086928813,0.0,0.0,false
710156,befriend_both,false,0.08711673098370556,18,18,18,0,false,0.9085757020315995,0.9085757020315995,,,,,
710156,befriend_one,false,0.0,10,0,0,0,false,0.9308550897017855,0.015570950739950256,,,,,
710156,befriend_none,false,0.0,0,0,0,0,false,0.015570950739950256,0.015570950739950256,,,,,
