seed,stratum,intact_M_PT,intact_M_PD,action_mask_M_PT,action_mask_M_PD,forced_open_M_PT,forced_open_M_PD,substitution_M_PT,substitution_M_PD,common_A_delta_L_PT,common_A_delta_L_PD,common_M_PT,common_M_PD,fixed_root_difference,fixed_transfer_difference,fixed_M_PT,fixed_M_PD,broadcast_M_PT,broadcast_M_PD,equalized_A_delta_L_PT,equalized_A_delta_L_PD,equalized_M_PT,equalized_M_PD
762078,strong,15.457497663433163,15.513680195475121,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,2.220446049250313e-16,0.0,0.0,0.0,15.457497663433163,15.513680195475121,11.93119560136999,11.32995111016858,4.440892098500626e-16,0.0,2.220446049250313e-16,0.0
762079,strong,13.116739175185927,13.436288920345703,0.0,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,-4.440892098500626e-16,0.0,0.0,0.0,13.116739175185927,13.436288920345703,10.141943342855829,10.026185927089806,8.881784197001252e-16,0.0,-4.440892098500626e-16,0.0
762080,very_strong,8.600228720761532,8.552744260972442,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,8.600228720761532,8.552744260972442,6.800866909119165,6.537217629485394,-4.440892098500626e-16,0.0,0.0,0.0
762081,very_strong,10.406559740484127,8.509114144515586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.406559740484127,8.509114144515586,10.523536602887823,10.198795170560874,0.0,0.0,0.0,0.0
762082,very_strong,14.210701315063218,13.500778483852812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.210701315063218,13.500778483852812,12.194074819756164,11.943279319363082,0.0,0.0,0.0,0.0
762083,very_strong,16.335254353185114,15.265196053793648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.335254353185114,15.265196053793648,14.246206296656492,13.860372711636357,0.0,0.0,0.0,0.0
762084,very_strong,20.355601377889556,20.569834098319454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.355601377889556,20.569834098319454,15.653865295138658,14.99152865124406,0.0,0.0,0.0,0.0
762085,very_strong,15.406680023214467,15.060342028569032,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,8.881784197001252e-16,0.0,0.0,0.0,0.0,15.406680023214467,15.060342028569032,12.83854729817433,12.72921677202865,-4.440892098500626e-16,8.881784197001252e-16,0.0,0.0
762086,very_strong,16.65347637158442,17.073243740191337,0.0,0.0,0.0,0.0,0.0,0.0,1.3322676295501878e-15,8.881784197001252e-16,-4.440892098500626e-16,0.0,0.0,0.0,16.65347637158442,17.073243740191337,12.575668079788159,12.115888562834147,1.3322676295501878e-15,8.881784197001252e-16,-4.440892098500626e-16,0.0
762087,very_strong,25.635298352377944,25.79859724463485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,-8.881784197001252e-16,0.0,0.0,25.635298352377944,25.79859724463485,19.758128248939318,18.825715435790613,0.0,8.881784197001252e-16,0.0,-8.881784197001252e-16
762088,very_strong,19.325010479644966,18.86990609188572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.325010479644966,18.86990609188572,15.653865295138653,14.991528651244062,0.0,0.0,0.0,0.0
