seed,bank_seed,stratum,dose,schedule,M_PT,M_PD,delivered_count,censored_count,mechanistic_error_PT,mechanistic_error_PD,matched_evidence_schedule_error
816013,820480,moderate,0.75,distributed,30.26878566920605,32.371822930053405,8,24,1.7763568394002505e-15,0.0,0.0
816013,820480,moderate,1.0,distributed,38.71964610773002,40.48853752539364,0,32,0.0,0.0,0.0
816014,820506,moderate,0.0,distributed,0.0,0.0,32,0,3.552713678800501e-15,3.552713678800501e-15,0.0
816014,820506,moderate,0.25,distributed,8.384023270636181,8.23977055578386,24,8,7.105427357601002e-15,3.552713678800501e-15,0.0
816014,820506,moderate,0.35,distributed,12.086148276941323,11.736360913911975,21,11,7.105427357601002e-15,3.552713678800501e-15,0.0
816014,820506,moderate,0.5,distributed,15.851644524879163,13.597512829113466,16,16,1.7763568394002505e-15,1.7763568394002505e-15,0.0
816014,820506,moderate,0.65,distributed,20.2661384110296,16.985983507277616,11,21,0.0,1.7763568394002505e-15,0.0
816014,820506,moderate,0.75,distributed,22.174485999026146,18.437427372029866,8,24,0.0,8.881784197001252e-16,0.0
816014,820506,moderate,1.0,distributed,29.52791837141773,24.977269921379996,0,32,0.0,0.0,0.0
816015,820576,moderate,0.0,distributed,0.0,0.0,32,0,0.0,7.105427357601002e-15,0.0
816015,820576,moderate,0.25,distributed,9.796207428912773,10.112307805688655,24,8,7.105427357601002e-15,7.105427357601002e-15,0.0
816015,820576,moderate,0.35,distributed,12.467741536973318,11.908970157383042,21,11,3.552713678800501e-15,7.105427357601002e-15,0.0
816015,820576,moderate,0.5,distributed,19.325010479644952,18.869906091885724,16,16,3.552713678800501e-15,1.7763568394002505e-15,0.0
816015,820576,moderate,0.65,distributed,24.77009526403999,23.958304776483605,11,21,1.7763568394002505e-15,1.7763568394002505e-15,0.0
816015,820576,moderate,0.75,distributed,29.502811168589734,29.15482314104545,8,24,1.7763568394002505e-15,2.220446049250313e-15,0.0
816015,820576,moderate,1.0,distributed,35.55824826455611,32.64002816447026,0,32,0.0,0.0,0.0
816016,820584,moderate,0.0,distributed,0.0,0.0,32,0,0.0,7.105427357601002e-15,0.0
816016,820584,moderate,0.25,distributed,8.116618892455577,6.885061036292271,24,8,3.552713678800501e-15,3.552713678800501e-15,0.0
816016,820584,moderate,0.35,distributed,10.788153000516122,8.681723387986658,21,11,0.0,3.552713678800501e-15,0.0
816016,820584,moderate,0.5,distributed,17.263828683155758,15.470050079018268,16,16,0.0,3.552713678800501e-15,0.0
816016,820584,moderate,0.65,distributed,22.708913467550794,20.558448763616152,11,21,0.0,0.0,0.0
816016,820584,moderate,0.75,distributed,26.02944521382394,23.8824298782732,8,24,0.0,0.0,0.0
816016,820584,moderate,1.0,distributed,35.44405938270472,33.822128440490786,0,32,0.0,0.0,0.0
816017,820616,moderate,0.0,front_loaded,0.0,0.0,32,0,0.0,0.0,0.0
816017,820616,moderate,0.25,front_loaded,8.116618892455577,6.885061036292264,24,8,0.0,3.552713678800501e-15,0.0
816017,820616,moderate,0.35,front_loaded,10.788153000516122,8.68172338798665,21,11,3.552713678800501e-15,0.0,0.0
816017,820616,moderate,0.5,front_loaded,16.233237784911157,13.770122072584533,16,16,3.552713678800501e-15,0.0,0.0
816017,820616,moderate,0.65,front_loaded,21.363566477161985,18.56285555326772,11,21,1.7763568394002505e-15,0.0,0.0
816017,820616,moderate,0.75,front_loaded,24.44176369251248,21.438495641677633,8,24,1.7763568394002505e-15,0.0,0.0
816017,820616,moderate,1.0,front_loaded,32.65028960011381,29.106869210770732,0,32,0.0,0.0,0.0
816018,820644,moderate,0.0,front_loaded,0.0,0.0,32,0,7.105427357601002e-15,3.552713678800501e-15,0.0
816018,820644,moderate,0.25,front_loaded,8.116618892455584,6.885061036292267,24,8,0.0,3.552713678800501e-15,0.0
816018,820644,moderate,0.35,front_loaded,11.818743898760722,10.381651394420384,21,11,3.552713678800501e-15,3.552713678800501e-15,0.0
816018,820644,moderate,0.5,front_loaded,16.882235423123763,15.297440835547196,16,16,1.7763568394002505e-15,1.7763568394002505e-15,0.0
816018,820644,moderate,0.65,front_loaded,20.915136049242204,18.513302270240278,11,21,0.0,1.7763568394002505e-15,0.0
816018,820644,moderate,0.75,front_loaded,24.617261055547345,22.009892628368394,8,24,1.7763568394002505e-15,1.7763568394002505e-15,0.0
816018,820644,moderate,1.0,front_loaded,30.55850926966233,26.677197927813726,0,32,0.0,0.0,0.0
816019,820794,moderate,0.0,front_loaded,0.0,0.0,32,0,7.105427357601002e-15,3.552713678800501e-15,0.0
816019,820794,moderate,0.25,front_loaded,8.384023270636188,8.239770555783856,24,8,3.552713678800501e-15,7.105427357601002e-15,0.0
816019,820794,moderate,0.35,front_loaded,11.704555016909332,11.563751670440904,21,11,3.552713678800501e-15,7.105427357601002e-15,0.0
816019,820794,moderate,0.5,front_loaded,17.149639801304367,16.65215035503879,16,16,3.552713678800501e-15,1.7763568394002505e-15,0.0
816019,820794,moderate,0.65,front_loaded,22.21313132566741,21.5679397961656,11,21,3.552713678800501e-15,1.7763568394002505e-15,0.0
816019,820794,moderate,0.75,front_loaded,23.85407453548335,21.664674141426257,8,24,1.7763568394002505e-15,1.7763568394002505e-15,0.0
816019,820794,moderate,1.0,front_loaded,33.38287758621553,30.422272427623323,0,32,0.0,0.0,0.0
816020,820801,moderate,0.0,front_loaded,0.0,0.0,32,0,7.105427357601002e-15,7.105427357601002e-15,0.0
816020,820801,moderate,0.25,front_loaded,8.384023270636188,8.23977055578386,24,8,0.0,3.552713678800501e-15,0.0
816020,820801,moderate,0.35,front_loaded,12.735145915153932,13.263679676874638,21,11,0.0,3.552713678800501e-15,0.0
816020,820801,moderate,0.5,front_loaded,17.79863743951697,18.17946911800145,16,16,1.7763568394002505e-15,1.7763568394002505e-15,0.0
816020,820801,moderate,0.65,front_loaded,20.037760647326813,19.350184059318664,11,21,1.7763568394002505e-15,1.7763568394002505e-15,0.0
816020,820801,moderate,0.75,front_loaded,22.976699133567962,22.501555930504644,8,24,1.7763568394002505e-15,1.7763568394002505e-15,0.0
816020,820801,moderate,1.0,front_loaded,32.77290656248074,32.6138637361933,0,32,0.0,0.0,0.0
816021,820834,moderate,0.0,distributed,0.0,0.0,32,0,0.0,7.105427357601002e-15,0.0
816021,820834,moderate,0.25,distributed,7.420269540279371,6.416786588906508,24,8,0.0,0.0,0.0
816021,820834,moderate,0.35,distributed,10.57088831685143,9.13975085498398,21,11,0.0,0.0,0.0
816021,820834,moderate,0.5,distributed,16.804229468568423,15.479736519768455,16,16,0.0,0.0,0.0
816021,820834,moderate,0.65,distributed,22.006979722040814,20.1197941781192,11,21,0.0,0.0,0.0
816021,820834,moderate,0.75,distributed,24.127007600368273,21.142830437762942,8,24,1.7763568394002505e-15,1.7763568394002505e-15,0.0
