arm,condition,seed,session,scaffolded,part_dominance,depth_index,opacity_index,posterior_confidence,root_belief_alone,revision_weight,profile_part,profile_context,profile_interoception,profile_relational,profile_policy
witnessing,inverted_broadcast,7102,1,1.0,0.5614770315117443,0.053542091895407304,0.9677659071765363,0.9677659071765363,0.8618453806855852,0.16660099239775428,0.4094645697497438,0.4885553465931238,0.4048658612284418,0.5068038731361297,0.565545737510509
witnessing,inverted_broadcast,7102,2,1.0,0.6369350845594193,0.053395882511423805,0.9677659071765363,0.9677659071765363,0.8263670853442772,0.12300304128114016,0.6464167606805447,0.8800660388917314,0.731899796139495,0.9438763108598236,0.7925117016338897
witnessing,inverted_broadcast,7102,3,1.0,0.5850918408873679,0.05824823612595982,0.9677659071765363,0.9677659071765363,0.7834794384364729,0.12456200023841382,0.8522545965923555,1.1211238291305752,0.8469182414538025,1.2100295236193173,0.9265600879253078
witnessing,inverted_broadcast,7102,4,1.0,0.5764566018413827,0.057630753389522844,0.9677659071765363,0.9677659071765363,0.7236505261386833,0.14700772725666034,0.984788748120684,1.266257930042991,1.0228405462149928,1.346976257747687,1.0073134087927906
witnessing,inverted_broadcast,7102,5,1.0,0.5249505897331321,0.05741790461900908,0.9677659071765363,0.9677659071765363,0.6559037258479335,0.14434080404404423,1.1000578412833657,1.3234201883919066,1.147935901182224,1.4485091698017603,1.0706516567732003
witnessing,inverted_broadcast,7102,6,1.0,0.4617867269376708,0.05547425286731923,0.9677659071765363,0.9677659071765363,0.6056268713278075,0.09823906797366345,1.2414763818271148,1.3443542193177227,1.2244050107335576,1.63459861218206,1.0152705722579565
witnessing,inverted_broadcast,7102,7,0.0,0.5857554152180876,0.04557310240066531,0.6991568995125621,0.7960591026973142,0.5635087604397329,0.07888727719135212,1.2009473838925209,1.3817669496733413,1.1877331304887362,1.6713860856818394,1.2705283552936417
witnessing,inverted_broadcast,7102,8,0.0,0.3702977756234481,0.05292965226296073,0.6991568995125621,0.7960591026973142,0.5220698172820997,0.07594450297085373,1.3614462083536079,1.314502851649849,1.1415259890328358,1.6636984569404472,1.1784731997025626
witnessing,inverted_broadcast,7102,9,0.0,0.41443356521034375,0.059213654265257404,0.6991568995125621,0.7960591026973142,0.4817215844557392,0.07340133000959262,1.400434864150869,1.257899954850112,0.9974329155764788,1.6339536063746758,1.165960555813963
witnessing,inverted_broadcast,7102,10,0.0,0.3122738221957642,0.06640311548501898,0.6991568995125621,0.7960591026973142,0.44278521353833716,0.07123623335801024,1.403745479965704,1.054178438224193,0.9841630653848019,1.5886846214708927,1.1144942136441234
witnessing,inverted_broadcast,7102,11,0.0,0.35987036123509836,0.06398977573696335,0.6991568995125621,0.7960591026973142,0.4036666943006364,0.07288375168517212,1.3727846660304153,0.9507824832475567,1.0395539460733536,1.5659920745682867,1.0605465218369885
witnessing,inverted_broadcast,7102,12,0.0,0.4202105301789598,0.046690638720552805,0.6991568995125621,0.7960591026973142,0.3633717203984797,0.0775224446043921,1.5051149064132414,1.1151424760214679,1.1091429966705797,1.6194393750872296,1.0073159269511474
witnessing,no_profile_learning,7103,1,1.0,0.4292651012897923,0.8816424994629335,0.9677659071765363,0.9677659071765363,0.8488451944820897,0.21438739093858156,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7103,2,1.0,0.5154976166839166,0.8621106951869378,0.9677659071765363,0.9677659071765363,0.7617727489719234,0.25597685914426616,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7103,3,1.0,0.46169271972912496,0.8947612513012188,0.9677659071765363,0.9677659071765363,0.6485637699862028,0.24985962090487984,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7103,4,1.0,0.435633625202715,0.918646608449879,0.9677659071765363,0.9677659071765363,0.5138817628997822,0.2532685163474145,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7103,5,1.0,0.43123331582433694,0.8553717090735242,0.9677659071765363,0.9677659071765363,0.391668510255364,0.22538428502363209,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7103,6,1.0,0.4580230833090579,0.7664648241204208,0.9677659071765363,0.9677659071765363,0.2904179320314965,0.205932285336201,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7103,7,0.0,0.484507105224743,0.5493387579698197,0.6991568995125621,0.7960591026973142,0.2571857591703516,0.07604193154267191,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7103,8,0.0,0.5512725980772628,0.4546507593306238,0.6991568995125621,0.7960591026973142,0.22271109098585726,0.08604061507241227,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7103,9,0.0,0.5286171405860132,0.4782727338819224,0.6991568995125621,0.7960591026973142,0.1956528539104371,0.07443285555608058,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7103,10,0.0,0.37038235086920407,0.4657801604036327,0.6991568995125621,0.7960591026973142,0.16834746284632787,0.08349801855630963,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7103,11,0.0,0.2692834294990606,0.4847643874041652,0.6991568995125621,0.7960591026973142,0.14620656659825818,0.07603825754319356,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7103,12,0.0,0.42110715254188535,0.4955602256424134,0.6991568995125621,0.7960591026973142,0.12628024179562242,0.07708512782630927,0.0,0.0,0.0,0.0,0.0
witnessing,local_only,7103,1,1.0,0.42785902124513636,0.0,0.967408173823073,0.967408173823073,0.8487371851414347,0.21476991670212686,0.39910391403737777,0.49209325024846823,0.4003878966332915,0.47809268199097327,0.3848337849685865
witnessing,local_only,7103,2,1.0,0.5149403873406693,0.0,0.967408173823073,0.967408173823073,0.7609250588764576,0.2577149766878089,0.6868817331478638,0.7309850913255431,0.6199579598429733,0.8434263601422289,0.6354312555846782
witnessing,local_only,7103,3,1.0,0.46051351848012717,0.0,0.967408173823073,0.967408173823073,0.6463149618571588,0.2522171200881239,0.8874332203097651,0.9680716688640301,0.789601052029288,1.1233571024339735,0.8655413864640055
witnessing,local_only,7103,4,1.0,0.43360957046906196,0.0,0.967408173823073,0.967408173823073,0.5098041910807225,0.25620834366735523,0.9978131386870029,1.1381318031360057,0.9695182637807293,1.3217447776855744,0.9793082501850282
witnessing,local_only,7103,5,1.0,0.42857847810879035,0.0,0.967408173823073,0.967408173823073,0.3865076796639797,0.22783536377484082,1.1178381791157628,1.3053039227491072,1.1377009133662568,1.4352104296148496,1.011531567390733
witnessing,local_only,7103,6,1.0,0.4554401232797182,0.0,0.967408173823073,0.967408173823073,0.2851315997396485,0.20778710650893462,1.1460278285061,1.3306929013544118,1.1489229317366363,1.3962730824219458,0.9769667750524137
